u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution
337,94,41.93,-70,Duck,Duck.Winkler.1985.lpd,2,North America>United States Of America>Massachusetts,North America>United States Of America>Massachusetts,"Winkler, Marjorie Green",1985,"A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts",Quaternary Research,LakeSediment,11,10842,pollen,42,7,this compilation,wave1,3.877758286
338,95,46.64,11.46,Dura-Moor,Dura-Moor.Seiwald.1980.lpd,2080,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Seiwald, A.",1980,Beitraege zur Vegetationsgeschichte Tirols IV: Natzer Plateau - Villanderer Alm.,Ber. nat.-med. Verein Innsbruck,Peat,111.78,10966.14,pollen,101,6,this compilation,wave1,9.305016602
339,96,43.67,28.55,Duranunlak,Duranunlak.EPD.lpd,4,Europe>Eastern Europe>Bulgaria,Europe>Eastern Europe>Bulgaria,NA,NA,NA,NA,LakeSediment,368.48,10498.03,pollen,36,6,this compilation,wave1,3.553958468
340,97,65.1857,-43.8248,DYE3,DYE3.Dahl-Jensen.1998.lpd,2490,North America>Greenland,North America>Greenland,"Dahl-Jensen, D.",1998,Past temperatures directly from the Greenland Ice Sheet,Science,GlacierIce,-34,34434,borehole,44,NA,10.1594/PANGAEA.587005,wave1,1.276546362
341,98,65.1833,-43.82,Dye3,Dye3.Vinther.2006.lpd,2490,North America>Greenland,North America>Greenland,"Dansgaard, W.; Clausen, H. B.; Gundestrup, N.; Hammer, C. U.; Johnsen, S. F.; Kristinsdottir, P. M.; Reeh, N.",1982,A new Greenland deep ice core,Science,GlacierIce,-20,11640,NA,0,NA,10.1594/PANGAEA.586841,wave1,0
342,99,-42.6799,146.5914,Eagle Tarn,EagleTarn.Rees.2010.lpd,1040,Australia/New Zealand>Australia,Australia/New Zealand>Australia,"Rees, Andrew B.H.; Cwynar, Les C.",2010,"Evidence for early postglacial warming in Mount Field National Park, Tasmania",Quaternary Science Reviews,LakeSediment,29.809,15139.173,chironomid,72,8,this compilation,wave1,4.76525683
343,100,56.28,-75.1,Lake EC1,EC1.Gajewski.1993.lpd,250,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology,LakeSediment,58,6610,pollen,32,7,this compilation,wave1,4.884004884
344,101,56.02,-74.95,Lake EC2,EC2.Gajewski.1991.lpd,300,America>Canada>Quebec,America>Canada>Quebec,"Gajewski, K.",1991,Representation pollinique actuelle    la limite des arbres au Nouveau-Quebec,Canadian Journal of Earth Sciences,LakeSediment,59,6359,pollen,38,7,this compilation,wave1,6.031746032
345,102,-75.0025,0.0683,EDML,EDML.Stenni.2010.lpd,2892,Antarctica,Antarctica,"Stenni, B.; Masson-Delmotte, V.; Selmo, E.; Oerter, H.; Meyer, H.; R苔thlisberger, R.; Jouzel, J.; Cattani, O.; Falourd, S.; Fischer, H.; Hoffmann, G.; Iacumin, P.; Johnsen, S.J.; Minster, B.; Udisti, R.",2010,The deuterium excess records of EPICA Dome C and Dronning Maud Land ice cores (East Antarctica),Quaternary Science Reviews,GlacierIce,1193,12992,deterium excess,1253,NA,www.ncdc.noaa.gov/paleo/study/27950,wave1,106.1954403
346,103,47.18,8.58,Egelsee,Egelsee.Larocque.2010.lpd,770,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Larocque-Tobler, Isabelle; Heiri, Oliver; Wehrli, Michael",2010,"Late Glacial and Holocene temperature changes at Egelsee, Switzerland, reconstructed using subfossil chironomids",Journal of Paleolimnology,LakeSediment,81.564,16192.857,chironomid,86,16,this compilation,wave1,5.337870772
347,104,50.69,-99.66,E Lake,ELake.Ritchie.1976.lpd,735,North America>Canada>Manitoba,North America>Canada>Manitoba,"Ritchie, J. C.",1976,The late-Quaternary vegetational history of the western interior of Canada,Canadian Journal of Botany,LakeSediment,-18,10684,pollen,55,7,this compilation,wave1,5.139226313
348,105,39.94,-105.58,Eldora Fen,Eldora.Maher.1969.lpd,2848,North America>United States Of America>Colorado,North America>United States Of America>Colorado,NA,NA,NA,NA,LakeSediment,9,8639.9,pollen,44,8,this compilation,wave1,5.097961974
349,106,47.68,-124.02,Eleanor Lake,Eleanor.Gavin.2011.lpd,710,North America>United States Of America>Washington,North America>United States Of America>Washington,"Gavin, Daniel G.; Henderson, Andrew C.G.; Westover, Karlyn S.; Fritz, Sherilyn C.; Walker, Ian R.; Leng, Melanie J.; Hu, Feng Sheng",2011,Abrupt Holocene climate change and potential response to solar forcing in western Canada,Quaternary Science Reviews,LakeSediment,-48.9,10877.1,NA,NA,8,www.ncdc.noaa.gov/paleo-search/study/23371,wave1,0
350,107,65.5612,-22.4064,Efstadalsvatn,Elfstadalsvatn.Langdon.2008.lpd,123,Atlantic Ocean>North Atlantic Ocean>Iceland,Atlantic Ocean>North Atlantic Ocean>Iceland,"Langdon, Peter G.; Holmes, Naomi; Caseldine, Chris J.",2008,Environmental controls on modern chironomid faunas from NW Iceland and implications for reconstructing climate change,Journal of Paleolimnology,LakeSediment,4234.52,10840.288,chironomid,26,9,this compilation,wave1,3.935954154
351,108,67.441,172.219,ElGygytgyn Crater hillslopes,ElGygytgynCrater.Schwamborn.2006.lpd,520,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Schwamborn, Georg; Meyer, Hanno; Fedorov, Grigory; Schirrmeister, Lutz; Hubberten, Hans-W.",2006,"Ground ice and slope sediments archiving late Quaternary paleoenvironment and paleoclimate signals at the margins of El'gygytgyn Impact Crater, NE Siberia",Quaternary Research,Ice-other,3276,12621,NA,0,7,this compilation,wave1,0
352,109,61.1667,-100.9167,Ennadai-1,Ennadai-1.Nichols.1967.lpd,168,NA,North America>Canada>Nunavut,"Viau, A. E.",2009,"Reconstructing Millennial-Scale, Regional Paleoclimates of Boreal Canada during the Holocene",Journal of Climate,LakeSediment,354,7100,pollen,31,17,www.ncdc.noaa.gov/paleo/study/15444,wave1,4.595315743
353,110,61.24,-100.95,Ennadai-2,Ennadai-2.Nichols.1975.lpd,325,North America>Canada>Nunavut,North America>Canada>Nunavut,"Nichols, H.",1975,"Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada",NA,LakeSediment,636.2,5392.4,pollen,117,7,this compilation,wave1,24.59947017
354,111,-75.1019,123.3953,EPICA Dome C,EPICADomeC.Stenni.2010.lpd,3233,Antarctica,Antarctica,"Stenni, B.; Masson-Delmotte, V.; Selmo, E.; Oerter, H.; Meyer, H.; R苔thlisberger, R.; Jouzel, J.; Cattani, O.; Falourd, S.; Fischer, H.; Hoffmann, G.; Iacumin, P.; Johnsen, S.J.; Minster, B.; Udisti, R.",2010,The deuterium excess records of EPICA Dome C and Dronning Maud Land ice cores (East Antarctica),Quaternary Science Reviews,GlacierIce,38.3738,12978.3389,deterium excess,701,NA,www.ncdc.noaa.gov/paleo/study/27950,wave1,54.17325275
355,112,52.0269,101.0591,ESM-1,ESM-1.Mackay.2012.lpd,1992,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Mackay, Anson W.; Bezrukova, Elena V.; Leng, Melanie J.; Meaney, Miriam; Nunes, Ana; Piotrowska, Natalia; Self, Angela; Shchetnikov, Alexander; Shilland, Ewan; Tarasov, Pavel; Wang, Luo; White, Dustin",2012,"Aquatic ecosystem responses to Holocene climate change and biome development in boreal, central Asia",Quaternary Science Reviews,LakeSediment,29,11206,chironomid,30,8,www.ncdc.noaa.gov/paleo/study/28371,wave1,2.684083386
356,113,46.31,7.48,Etang d'y Cor Montana,Etangd'yCorMontana.Welten.1982.lpd,1506,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft,LakeSediment,354.08,10997.56,pollen,91,6,this compilation,wave1,8.549835204
357,114,-54.497,-37.053,Fan Lake,FanLake.Foster.2016.lpd,94,Atlantic Ocean>South Atlantic Ocean>South Georgia Island,Atlantic Ocean>South Atlantic Ocean>South Georgia Island,"Foster, Louise C.; Pearson, Emma J.; Juggins, Steve; Hodgson, Dominic A.; Saunders, Krystyna M.; Verleyen, Elie; Roberts, Stephen J.",2016,Development of a regional glycerol dialkyl glycerol tetraether (GDGT)   temperature calibration for Antarctic and sub-Antarctic lakes,Earth and Planetary Science Letters,LakeSediment,NA,NA,GDGT,81,5,10.5285/df50e30a-0672-461a-928e-aafafb45fd55,wave1,0
358,115,34.41,-95.81,Ferndale,Ferndale.Albert.1981.lpd,263,North America>United States Of America>Oklahoma,North America>United States Of America>Oklahoma,"Albert, L.E., and D.G. Wyckoff",1981,Ferndale Bog and Natural Lake: Five thousand years of environmental change in southeastern Oklahoma,Studies in Oklahoma's Past,LakeSediment,0,7362,pollen,58,8,this compilation,wave1,7.878293942
359,116,58.58,13.67,Flarken,Flarken.Berglund.1966.lpd,109,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Berglund, B.E.",1966,"Late-Quaternary vegetation in eastern Blekinge, south-eastern Sweden",Opera Botanica,LakeSediment,247.67,12185.51,pollen,114,6,this compilation,wave1,9.549466235
360,117,49.28,-0.45,Fontaine Henry,FontaineHenry.Lespez.2008.lpd,20,Europe>Western Europe>France,Europe>Western Europe>France,"Lespez, Laurent; Clet-Pellerin, Martine; Limondin-Lozouet, Nicole; Pastre, Jean-Fran踏ois; Fontugne, Michel; Marcigny, Cyril",2008,Fluvial system evolution and environmental changes during the Holocene in the Mue valley (western France),Geomorphology,Peat,374.17,5122.17,pollen,60,6,this compilation,wave1,12.63689975
361,118,49.6,-121.467,Frozen Lake,Frozen.Rosenberg.2004.lpd,1180,North America>Canada>British Columbia,North America>Canada>British Columbia,"Rosenberg, Sandra M.; Walker, Ian R.; Mathewes, Rolf W.; Hallett, Douglas J.",2004,"Midge-inferred Holocene climate history of two subalpine lakes in southern British Columbia, Canada",The Holocene,LakeSediment,-127.935,11426.52,chironomid,49,8,this compilation,wave1,4.24078851
362,119,44.05,-87.73,Gass,Gass.Webb.1983.lpd,211,North America>United States Of America>Wisconsin,North America>United States Of America>Wisconsin,"Webb, S.L.",1983,The Holocene extension of the range of American Beech (Fagus grandifolia) into Wisconsin: Paleoecological evidence for long-distance seed dispersal,NA,LakeSediment,1,10856,pollen,48,7,this compilation,wave1,4.42192538
363,120,55.11,-75.25,Lake GB1,GB1.Gajewski.1991.lpd,325,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.",1991,Representation pollinique actuelle    la limite des arbres au Nouveau-Quebec,Canadian Journal of Earth Sciences,LakeSediment,0,6390,pollen,23,7,this compilation,wave1,3.599374022
364,121,56.1,-75.28,Lake GB2,GB2.Gajewski.1993.lpd,300,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology,LakeSediment,56,7225,pollen,58,7,this compilation,wave1,8.090389176
365,122,44.3894,10.0475,Gemini,Gemini.Samartin.2017.lpd,1349,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Samartin, S.; Heiri, O.; Joos, F.; Renssen, H.; Franke, J.; Broennimann, S.; Tinner, W.",2017,Warm Mediterranean mid-Holocene summers inferred from fossil midge assemblages,Nature Geoscience,LakeSediment,-58,14020,chironomid,79,7,www.ncdc.noaa.gov/paleo/study/21030,wave1,5.611592556
366,123,-5.6,11.2,GeoB6518-1,GeoB65181_MBT.Weijers.2007.lpd,-962,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Weijers, J. W. H.; Schefuss, E.; Schouten, S.; Damste, J. S. S.",2007,Coupled thermal and hydrological evolution of tropical Africa over the last deglaciation,Science,MarineSediment,30,14690,GDGT,103,8,10.1594/PANGAEA.615247,wave1,7.025920873
367,124,52.32,17.36,Giecz,Giecz.Milecka.2002.lpd,100,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Milecka, K.; Szeroczynska, K.",2002,Tymczasowa informacja o paleoekologii i paleolimnologii Jeziora Ostrowite na podstawie glebokowodnego rdzenia (z SW czesci zbionika),"Park Narodowy ""Bory Tucholskie"". (National Park ""Bory Tucholskie"")",LakeSediment,150.97,9050.46,pollen,71,6,this compilation,wave1,7.977985255
368,125,47.47,12.36,Giering,Giering.Bortenschlager.1976.lpd,820,Europe>Western Europe>Austria,Europe>Western Europe>Austria,"Bortenschlager, I.",1976,Beitraege zur Vegetationsgeschichte Tirols II: Kufstein - Kitzbuehel - Pass Thurn,Ber. nat.-med. Verein Innsbruck,Peat,187.68,10970.58,pollen,81,6,this compilation,wave1,7.511893832
369,126,48.43,8.25,Glaswaldsee,Glaswaldsee.EPD.lpd,839,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Roesch, M.",2009,Zur vorgeschichtlichen Besiedlung und Landnutzung im noerdlichen Schwarzwald aufgrund vegetationsgeschichtlicher Untersuchungen in zwei Karseen. [Prehistoric settlement and land use history of the Northern Black Forest as indicated by pollenanalytical investigations in two cirque lakes],Mitt. Ver. Forstl. Standortskunde u. Forstpflanzenzuechtung,LakeSediment,376.23,10274.68,pollen,153,6,this compilation,wave1,15.45696548
370,127,54.09,18.55,Godziszewskie Lake,GodziszewskieLake.Miotk.1986.lpd,71,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Miotk, G.",1986,Badania palinologiczne osadow z polnocnego obrzeza jeziora Godziszewskiego kolo Tczewa/woj,gdanskie Fizjograficzne na Polska Zach,LakeSediment,212.13,9520.91,pollen,86,6,this compilation,wave1,9.238589804
371,128,46.21,8.11,Gondo Alpjen,GondoAlpjen.Welten.1982.lpd,1724,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft,LakeSediment,151.05,6577.36,pollen,42,6,this compilation,wave1,6.535632424
372,129,52.58,19.35,Gosciaz,Gosciaz.Welten.1982.lpd,64,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft,LakeSediment,-35.95,10986.47,pollen,278,6,this compilation,wave1,25.22132163
373,130,44.98,-69.32,Gould,Gould.Anderson.2008.lpd,89,North America>United States Of America>Maine,North America>United States Of America>Maine,"Anderson, R. Scott; Jacobson, George L.; Davis, Ronald B.; Stuckenrath, Robert",2008,"Gould Pond, Maine: Late-glacial transitions from marine to upland environments",Boreas,LakeSediment,-66,10942,pollen,73,7,this compilation,wave1,6.631540698
374,131,46.2,7.85,Graechen See,GraechenSee.Krisai.2006.lpd,1725,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Krisai, R.; Mayer, W.; Schroeck, C.; Tuerk, R.",2006,"Das Gradenmoos in der Schobergruppe (NP Hohe Tauern, Kaerten) Vegetation und Entstehung",Carinthia II,LakeSediment,25.36,8318.67,pollen,81,6,this compilation,wave1,9.766908508
375,132,45.18,-77.35,Graham,Graham.Fuller.1997.lpd,381,North America>Canada>Ontario,North America>Canada>Ontario,"Fuller, Janice L.",1997,"Holocene forest dynamics in southern Ontario, Canada: Fine-resolution pollen data",Canadian Journal of Botany,LakeSediment,1,10980,pollen,208,7,this compilation,wave1,18.94525913
376,133,47.37,-2.25,Grande Briere,GrandeBriere.Visset.1979.lpd,80,Europe>Western Europe>France,Europe>Western Europe>France,"Visset, L.",1979,Recherches palynologiques sur la vegetation Pleistocene et Holocene de quelques sites du district phytogeographique de Basse-Loire,NA,Peat,253.23,4951.3,pollen,48,6,this compilation,wave1,10.21696143
377,134,55.03,-62.63,Gravel Ridge,GravelRidge.Lamb.1985.lpd,565,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Lamb, H. F.",1985,Palynological evidence for postglacial change in the position of tree limit in Labrador,Ecological Monographs,LakeSediment,47,7279,pollen,45,7,this compilation,wave1,6.222345133
378,135,38,-116.5,Great Basin,GreatBasin.Salzer.2014.lpd,0,North America>United States Of America>Nevada,North America>United States Of America>Nevada,"Salzer, Matthew W.; Bunn, Andrew G.; Graham, Nicholas E.; Hughes, Malcolm K.",2014,"Five millennia of paleotemperature from tree-rings in the Great Basin, USA",Climate Dynamics,Wood,-56,4524,TRW,4581,NA,ncdc.noaa.gov/paleo/study/17056,wave1,1000.218341
379,136,43.64,-79.47,Grenadier,Grenadier.McAndrews.1988.lpd,76,North America>Canada>Ontario,North America>Canada>Ontario,"McCarthy, FrancineM.G.; McAndrews, JohnH.",1988,"Water levels in Lake Ontario 4230-2000 years B.P.: Evidence from Grenadier Pond, Toronto, Canada",Journal of Paleolimnology,LakeSediment,-27,4631,pollen,79,7,this compilation,wave1,16.9600687
380,137,50.77,-55.52,Grey Islands,GreyIslands.Cullen.2002.lpd,104,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Evans, N.S.",2002,"An investigation of the Holocene pollen record from the Grey Islands, Newfoundland",NA,LakeSediment,-37,10862,pollen,79,7,this compilation,wave1,7.24837141
381,138,72.58,-37.63,GRIP,GRIP.Vinther.2006.lpd,3237,NA,North America>Greenland,"Johnsen, Sigfus J.; Dahl-Jensen, Dorthe; Dansgaard, Willi; Gundestrup, Niels",1995,Greenland palaeotemperatures derived from GRIP bore hole temperature and ice core isotope profiles,Tellus B: Chemical and Physical Meteorology,GlacierIce,-39,248763,NA,0,NA,10.1594/PANGAEA.586860,wave1,0
382,139,68.165,92.1731,GYXO,GYXO.Self.2015.lpd,569,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Self, Angela E; Jones, Vivienne J; Brooks, Steve J",2015,Late Holocene environmental change in arctic western Siberia,The Holocene,LakeSediment,-56,3476,chironomid,20,8,this compilation,wave1,5.662514156
383,140,-36.9225,177.4392,H214,H214.Samson.2005.lpd,-2045,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Samson, Catherine R.; Sikes, Elisabeth L.; Howard, William R.",2005,"Deglacial paleoceanographic history of the Bay of Plenty, New Zealand",Paleoceanography,MarineSediment,590,16210,foraminifera,77,9,www.ncdc.noaa.gov/paleo/study/2647,wave1,4.929577465
384,141,46.79,7.83,Haengstli,Haengstli.Heeb.1972.lpd,1252,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Heeb, K.; Welten, M.",1972,Moore und Vegetationsgeschichte der Schwarzenegg und des Molassevorlandes zwischen dem Aaretal unterhalb Thun und dem obern Emmental. Mitteilungen der Naturforschenden Gesellschaft in Bern.,Neue Folge,Peat,211.61,7834.28,pollen,47,6,this compilation,wave1,6.165818539
385,142,43.24,-80.41,Hams,Hams.Bennett.1987.lpd,301,North America>Canada>Ontario,North America>Canada>Ontario,"Bennett, K. D.",1987,Holocene history of forest trees in southern Ontario,Canadian Journal of Botany,LakeSediment,-29,10864,pollen,82,7,this compilation,wave1,7.527770128
386,143,65.97,-18.45,Hamundarstadhahals,Hamundarstadhahals.Caseldine.2006.lpd,100,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Caseldine, Chris; Langdon, Peter; Holmes, Naomi",2006,Early Holocene climate variability and the timing and extent of the Holocene Thermal Maximum (HTM) in northern Iceland,Quaternary Science Reviews,LakeSediment,7686.27,10738.375,chironomid,30,6,this compilation,wave1,9.829281758
387,144,68.38,-138.38,Hanging Lake,Hanging.Cwynar.1982.lpd,500,North America>Canada>Yukon Territory,North America>Canada>Yukon Territory,"Cwynar, Les C.",1982,"A Late-Quaternary vegetation history from Hanging Lake, Northern Yukon",Ecological Monographs,LakeSediment,0,10279.7,pollen,133,7,this compilation,wave1,12.93812076
388,145,42.2167,126.517,Hani,Hani.Zheng.2017.lpd,910,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Zheng, Yanhong; Pancost, Richard D.; Liu, Xiaodong; Wang, Zhangzhang; Naafs, B.D.A.; Xie, Xiaoxun; Liu, Zhao; Yu, Xuefeng; Yang, Huan",2017,Atmospheric connections with the North Atlantic enhanced the deglacial warming in northeast China,Geology,Peat,0,16180.3,GDGT,110,6,this compilation,wave1,6.798390636
389,146,79.26,11.52,HAP0212,HAP0212.vanderBilt.2016.lpd,12,Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen,Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen,"van der Bilt, Willem G.M.; D'Andrea, William J.; Bakke, Jostein; Balascio, Nicholas L.; Werner, Johannes P.; Gjerde, Marthe; Bradley, Raymond S.",2018,Alkenone-based reconstructions reveal four-phase Holocene temperature evolution for high arctic Svalbard,Quaternary Science Reviews,LakeSediment,533.7,11117.3,alkenone,60,15,10.1594/PANGAEA.868936,wave1,5.669148494
390,147,52.93,-66.95,Harrie,Harrie.King.1986.lpd,530,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"King, G.A.",1986,Deglaciation and vegetation history of western Labrador and adjacent Quebec,NA,LakeSediment,-5,6805,pollen,28,7,this compilation,wave1,4.111600587
391,148,65.03,-21.37,Haukdalsvatn,Haukdalsvatn.Larsen.2013.lpd,32,Europe>Northern Europe>Iceland,Europe>Northern Europe>Iceland,"Geirsd _ttir, 虂slaug; Miller, Gifford H.; Larsen, Darren J.;   lafsd _ttir, S _d _s",2013,Abrupt Holocene climate transitions in the northern North Atlantic region recorded by synchronized lacustrine records in Iceland,Quaternary Science Reviews,LakeSediment,2,9998,NA,0,NA,www.ncdc.noaa.gov/paleo/study/15444,wave1,0
392,149,49.68,-1.28,Havre de Crabec,HavredeCrabec.Coutard.2006.lpd,2,Europe>Western Europe>France,Europe>Western Europe>France,"Coutard, S.; Clet-Pellerin, M.",2006,"Evolution de la sedimentation et de la vegetation pendant l'Holocene dans les marais arriere-littoraux du Val de Saire (Cotentin, Normandie)","L'erosion entre Societe, Climat et Paleoenvironnements",Peat,5.01,6837.88,pollen,51,6,this compilation,wave1,7.463920724
393,150,47.32,-53.13,Hawke Hills Kettle,HawkeHillsKettle.Macpherson.1982.lpd,220,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Brown Macpherson, Joyce",1982,"Postglacial vegetational history of the eastern Avalon Peninsula, Newfoundland, and Holocene climatic change along the eastern Canadian seaboard",Geographie physique et Quaternaire,LakeSediment,-27,8121,pollen,38,7,this compilation,wave1,4.663721159
394,151,27.36,100.07,Heihai Lake,HeihaiLake.Chang.2017.lpd,4118,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Chang, Jie; Zhang, Enlou; Liu, Enfeng; Shulmeister, James",2017,Summer temperature variability inferred from subfossil chironomid assemblages from the south-east margin of the Qinghai   Tibetan Plateau for the last 5000 years,The Holocene,LakeSediment,-59,5224,chironomid,54,8,this compilation,wave1,10.22146508
395,152,30.45,110.4167,Heshang Cave,HeshangCave.Wang.2018.lpd,294,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Wang, Canfa; Bendle, James A.; Zhang, Hongbin; Yang, Yi; Liu, Deng; Huang, Junhua; Cui, Jingwei; Xie, Shucheng",2018,Holocene temperature and hydrological changes reconstructed by bacterial 3-hydroxy fatty acids in a stalagmite from central China,Quaternary Science Reviews,Speleothem,NA,NA,3-OH-Fatty Acids,73,17,this compilation,wave1,0
396,153,38.2613,-119.5365,Hidden Lake CA,HiddenLakeCA.Potito.2006.lpd,2379,NA,North America>United States Of America>California,"Potito, Aaron P.",2006,"A late Quaternary chironomid-inferred temperature record from the Sierra Nevada, California, with connections to northeast Pacific sea surface temperatures",Quaternary Research,LakeSediment,15.6,15314.15,chironomid,57,8,this compilation,wave1,3.725843299
397,154,44.52,-76.6,High,High.Fuller.1997.lpd,192,North America>Canada>Ontario,North America>Canada>Ontario,"Fuller, Janice L.",1997,"Holocene forest dynamics in southern Ontario, Canada: Fine-resolution pollen data",Canadian Journal of Botany,LakeSediment,0,10566,pollen,185,7,this compilation,wave1,17.5089911
398,155,46.7176,8.0677,Hinterburgsee,Hinterburgsee.Heiri.2015.lpd,1515,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,NA,NA,NA,NA,LakeSediment,2410,11519,chironomid,62,7,www.ncdc.noaa.gov/paleo/study/15854,wave1,6.806455154
399,156,46.72,8.07,Hinterburgsee,Hinterburgseeli.EPD.lpd,1519,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,NA,NA,NA,NA,LakeSediment,-34.71,12619.89,pollen,100,6,this compilation,wave1,7.902264789
400,157,60.51,25.23,Hirvijaervi,Hirvijaervi.Luoto.2010.lpd,104,Europe>Northern Europe>Scandinavia>Finland,Europe>Northern Europe>Scandinavia>Finland,"Luoto, Tomi P.; Kultti, Seija; Nevalainen, Liisa; Sarmaja-Korjonen, Kaarina",2010,Temperature and effective moisture variability in southern Finland during the Holocene quantified with midge-based calibration models,Journal of Quaternary Science,LakeSediment,0,11500,chironomid,44,9,this compilation,wave1,3.826086957
401,158,76.4331,-18.7614,Hjort,HjortSo.Wagner.2008.lpd,114,North America>Greenland,North America>Greenland,"Wagner, Bernd; Bennike, Ole; Bos, Johanna A. A.; Cremer, Holger; Lotter, Andre F.; Melles, Martin",2008,"A multidisciplinary study of Holocene sediment records from Hjort S   on Store Koldewey, northeast Greenland",Journal of Paleolimnology,LakeSediment,371,10009,NA,0,17,this compilation,wave1,0
402,159,60.11,-6.07,HM03_133_25,HM03_133_25.Solignac.2008.lpd,1156,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Solignac, Sandrine; Grelaud, Michael; de Vernal, Anne; Giraudeau, Jacques; Moros, Matthias; McCave, I. Nicholas; Hoogakker, Babette",2008,Reorganization of the upper ocean circulation in the mid-Holocene in the northeastern Atlantic,Canadian Journal of Earth Sciences,MarineSediment,757,10228,dinocyst,90,7,this compilation,wave1,9.50269243
403,160,60.6519,14.9264,Holtjaernen,Holtjaernen.Giesecke.2008.lpd,232,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Giesecke, T.; Bjune, A.E.; Chiverrell, R.C.; Sepp _, H.; Ojala, A.E.K.; Birks, H.J.B.",2008,Exploring Holocene continentality changes in Fennoscandia using present and past tree distributions,Quaternary Science Reviews,LakeSediment,-41,11446,pollen,101,9,this compilation,wave1,8.792548098
404,161,50.1167,6.8833,Holzmaar,Holzmaar.Litt.2009.lpd,425,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Litt, Thomas; Sch苔lzel, Christian; K _hl, Norbert; Brauer, Achim",2009,Vegetation and climate history in the Westeifel Volcanic Field (Germany) during the past 11 000 years based on annually laminated lacustrine maar sediments,Boreas,LakeSediment,-23,10881,pollen,249,8,this compilation,wave1,22.83565664
405,162,-52.5518,169.138,HomesteadScarp,HomesteadScarp.McGlone.2010.lpd,30,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"McGlone, Matt S.; Turney, Chris S. M.; Wilmshurst, Janet M.; Renwick, James; Pahnke, Katharina",2010,"Divergent trends in land and ocean temperature in the Southern Ocean over the past 18,000 years",Nature Geoscience,Peat,-39,12246.9,pollen,170,8,this compilation,wave1,13.83700014
