Time,South_Atlantic,S_Australia,China,C_Africa,Arabian_sea,W_Africa_coast,Scandinavia,Offshore_oregon,Caribbean,Tropical_E_Pacific,W_S_America,Antarctica,Indonesia,Philippines,Iceland,N_Atlantic,Alaska,Mediterranean,New_Zealand,Japan,Greenland,Global
5000,1.532108546,0.749387202,-0.017826114,-0.966187919,0.501590902,-0.245262182,0.95902617,0.761590342,0.151989893,0.500841814,1.345761222,2.648929842,0.315294072,0.271035872,1.15512096,2.811244884,-0.555480749,-1.690437033,2.944340701,-0.703363132,-2.061586548,1.358223416
5100,1.66951812,0.339764138,0.117315387,-0.811917982,0.673511059,-0.458652567,0.789347436,0.580076326,0.252705477,0.533499602,1.104714321,2.260649904,0.416605758,0.423277768,0.394714648,2.410636492,-0.733525113,-1.573142641,2.616018456,-0.673519135,-1.874091572,1.200572437
5200,0.982531781,0.674573104,0.009173883,-0.662162044,0.769220933,-0.335711632,0.391485535,0.582672558,0.327878413,0.417453888,1.014432949,2.048179896,0.233362553,0.24331778,0.380540009,2.218298281,-0.745953421,-1.257087503,2.311296477,-0.783035743,-1.880698477,1.097662733
5300,1.576211485,0.707786011,0.047768888,-0.674742834,0.975066653,-0.236573113,0.32669154,0.575166262,0.355297048,0.359962976,1.174318348,2.232504632,0.279044645,0.41980941,0.223182981,2.458577002,-0.929145244,-0.949419174,2.823576548,-0.844494362,-1.547597048,0.703102686
5400,2.46047614,0.540001977,-0.046881116,-0.820511099,1.028937855,-0.057198751,0.557274929,0.483418539,0.328138356,0.434969238,1.088629176,2.313942696,0.297593493,0.710541617,0.407883011,2.444729533,-0.674568945,-1.241001259,2.430502215,-0.653255736,-2.684421358,2.031165621
5500,2.060327376,0.401663884,-0.002272619,-0.902089304,0.584258625,-0.144305679,0.326836103,0.497945579,0.236244839,0.462628931,1.026915675,2.27615872,0.339153334,0.284845139,0.897185967,2.034346616,-0.87708849,-1.378575017,2.435073049,-0.769868299,-2.722139548,1.952271249
5600,1.88419933,0.35244985,-0.010880115,-1.011044453,0.168659825,-0.244700329,0.185630642,0.411610313,0.286614378,0.355119276,1.032047338,2.767102418,0.109058979,0.499615428,0.760761807,1.931270052,-0.796209412,-1.593140725,3.052347483,-0.95367517,-2.647764501,1.694089331
5700,1.873737475,0.531125757,-0.117564111,-1.026822618,0.063914266,-0.341884169,0.357450722,0.463326369,0.422293429,0.206695756,1.089095207,2.801824835,0.088146681,0.324395505,1.069978644,2.074859224,-0.79831696,-1.537441829,2.705552765,-0.853359438,-2.031641477,1.178282039
5800,2.529576653,0.215812663,-0.154026786,-0.779217201,0.05021136,-0.413948651,0.095889555,0.372156116,0.476807555,0.140574839,1.060998976,2.779906276,0.197132331,0.102369103,0.616377301,1.81652927,-0.716085044,-1.647496494,2.82615847,-0.738801826,-2.322445477,1.583643651
5900,2.678395858,0.20926351,-0.167668446,-0.40616557,0.253567193,-0.215119995,0.175011853,0.387116277,0.415516807,0.160564158,1.10948476,3.351986744,0.361629484,0.43486955,0.212492296,1.650043204,-0.643677905,-1.657929339,3.165349968,-0.651616161,-2.602656548,1.951040387
