Years BP,Weighted_Average,Weighted_1-Sigma,Weighted_upper,Weighted_lower
19300,-2.477556023,1.58770823,-0.88709756,-3.971825462
19400,-2.519038096,1.600160412,-0.914188276,-4.017560634
19500,-2.513742131,1.551246103,-0.961453262,-3.954852584
19600,-2.487315108,1.518092302,-0.973405826,-3.889445812
19700,-2.427129032,1.504029657,-0.93249649,-3.812334307
19800,-2.395287082,1.523650395,-0.882568097,-3.799960671
19900,-2.383066941,1.542794377,-0.851334916,-3.807756442
20000,-2.359236785,1.581077532,-0.788721041,-3.821573274
20100,-2.378295963,1.629685922,-0.756668112,-3.892485775
20200,-2.435493053,1.60899943,-0.829167754,-3.937276902
20300,-2.534246375,1.58852521,-0.9416822,-4.026626236
20400,-2.574504197,1.645573503,-0.919365259,-4.124693195
20500,-2.53968481,1.667374184,-0.865042984,-4.099956784
20600,-2.421518901,1.62107025,-0.801952966,-3.91923859
20700,-2.422588875,1.643633618,-0.778178249,-3.945341032
20800,-2.452714852,1.682518474,-0.765160002,-4.020258845
20900,-2.475281271,1.724263897,-0.743408501,-4.086236068
21000,-2.503399115,1.735057199,-0.760640936,-4.119421016
21100,-2.528476218,1.780845477,-0.738659192,-4.18323763
21200,-2.545900863,1.829568812,-0.7004557,-4.256572112
21300,-2.578761325,1.871955194,-0.682181146,-4.345140767
21400,-2.577454844,1.785695941,-0.764004478,-4.263868806
21500,-2.542508686,1.704329014,-0.816185984,-4.13323722
21600,-2.54752071,1.700828486,-0.827713508,-4.127680339
21700,-2.546844297,1.697548065,-0.834298301,-4.12160167
21800,-2.467092536,1.62079484,-0.841180169,-3.962532794
21900,-2.463079596,1.659200497,-0.801224782,-3.996647324
22000,-2.460243663,1.67115435,-0.787183578,-4.002490732
