"","Years","Model","Proxy"
"129",12900,-1.24358889183841,-1.33322448478946
"130",13000,-1.33512538490259,-1.34601433255394
"131",13100,-1.2813585924384,-1.3215707772954
"132",13200,-1.38786913372672,-1.22133413137328
"133",13300,-1.44993922457569,-1.13210075390365
"134",13400,-1.4251139897492,-1.12272560941878
"135",13500,-1.50311604343492,-1.08486339725193
"136",13600,-1.5542843233685,-1.19517476381548
"137",13700,-1.58858184922219,-1.14241554476351
"138",13800,-1.74413647952637,-1.23113341882444
"139",13900,-2.13540265922322,-1.21138392705582
"140",14000,-2.82842879175207,-1.30461113467093
"141",14100,-2.96813489136299,-1.24519106949352
"142",14200,-2.43863590360468,-1.25588303321901
"143",14300,-1.35235415652279,-1.25076408171977
"144",14400,-0.914533155330796,-1.32230037879913
"145",14500,-1.29373670627843,-1.39186209191017
"146",14600,-1.78454373085136,-1.6641507990875
"147",14700,-2.3683511704864,-1.7879192332666
"148",14800,-2.80563752036337,-1.98904328856371
"149",14900,-2.89355924969737,-1.98052034393999
"150",15000,-2.97248511360764,-2.09318641999254
"151",15100,-2.99188692385907,-2.10970614702481
"152",15200,-3.11005733161527,-2.06128940390511
"153",15300,-3.22480934096182,-2.12343105771584
"154",15400,-3.38868576705987,-2.11220558900471
"155",15500,-3.51592905451912,-2.1500022027469
"156",15600,-3.68597344652796,-2.2349983962866
"157",15700,-3.79029261079116,-2.29927050829047
"158",15800,-3.87666495747983,-2.23319751319878
"159",15900,-4.0369934536686,-2.25141865900268
"160",16000,-4.12759675025075,-2.278565685719
"161",16100,-4.24111159933516,-2.3558132563556
"162",16200,-4.35808700140841,-2.47038900729037
"163",16300,-4.49548548162489,-2.62847326011749
"164",16400,-4.60469770292395,-2.60197906149265
"165",16500,-4.73327360969204,-2.54807286321253
"166",16600,-4.77011512281487,-2.58846080548002
"167",16700,-4.87000860542981,-2.66468377784951
"168",16800,-4.97233349252916,-2.70471322753631
"169",16900,-5.07231007099777,-2.82714261460623
"170",17000,-5.09004390201683,-2.8624934741019
"171",17100,-5.23081425373002,-2.91936555476347
"172",17200,-5.25770836838275,-2.8838613724432
"173",17300,-5.28064549461264,-2.94767878608649
"174",17400,-5.20030159655607,-3.07793970295099
"175",17500,-5.15031284501414,-3.02465876785307
"176",17600,-5.19059628800391,-3.0100553125512
"177",17700,-5.16899592736771,-2.95844684487447
"178",17800,-5.18245776510722,-2.92799956325737
"179",17900,-5.1668982419039,-2.8806579770253
"180",18000,-5.07307949527057,-2.84163580518659
"181",18100,-4.99675200668517,-2.88396471819977
"182",18200,-4.97075236662858,-2.95665714171501
"183",18300,-4.91667505298491,-3.02934875399317
"184",18400,-4.8203928120319,-3.0384080803005
"185",18500,-4.94134012517417,-3.08779703241592
"186",18600,-5.06851966843911,-3.09890914200251
"187",18700,-5.11104897188353,-3.05971085620564
