,Years,Model,Proxy,Diff
169,16900,-2.718698069,-2.827142615,0.108444546
170,17000,-2.751528623,-2.862493474,0.110964851
171,17100,-2.833224886,-2.919365555,0.086140669
172,17200,-2.819997344,-2.883861372,0.063864029
173,17300,-2.855556195,-2.947678786,0.092122591
174,17400,-2.80910739,-3.077939703,0.268832313
175,17500,-2.787091346,-3.024658768,0.237567421
176,17600,-2.804685118,-3.010055313,0.205370195
177,17700,-2.810508545,-2.958446845,0.1479383
178,17800,-2.812457991,-2.927999563,0.115541573
179,17900,-2.81762463,-2.880657977,0.063033347
180,18000,-2.738190299,-2.841635805,0.103445507
181,18100,-2.697003213,-2.883964718,0.186961505
182,18200,-2.698571989,-2.956657142,0.258085153
183,18300,-2.680010844,-3.029348754,0.34933791
184,18400,-2.632732742,-3.03840808,0.405675338
185,18500,-2.689844127,-3.087797032,0.397952905
186,18600,-2.740863466,-3.098909142,0.358045676
187,18700,-2.780199675,-3.059710856,0.279511181
188,18800,-2.75999463,-3.109624102,0.349629472
189,18900,-2.758427044,-3.04420894,0.285781895
190,19000,-2.750089835,-3.079390197,0.329300363
191,19100,-2.656086287,-3.16988758,0.513801292
192,19200,-2.626730501,-3.213279338,0.586548837
193,19300,-2.65829712,-3.167483972,0.509186851
194,19400,-2.626342825,-3.220517606,0.594174781
195,19500,-2.655893646,-3.228721327,0.572827681
196,19600,-2.63534613,-3.194777714,0.559431584
197,19700,-2.656812075,-3.117473019,0.460660944
198,19800,-2.634538962,-3.07657432,0.442035359
199,19900,-2.623304589,-3.060878426,0.437573836
200,20000,-2.601411946,-3.03498106,0.433569114
201,20100,-2.651713312,-3.059499262,0.40778595
202,20200,-2.699920126,-3.134568536,0.43464841
203,20300,-2.715470758,-3.261667669,0.546196912
204,20400,-2.686308235,-3.330283729,0.643975494
205,20500,-2.761048485,-3.302610583,0.541562099
206,20600,-2.761023154,-3.148947428,0.387924274
207,20700,-2.779601761,-3.150338825,0.370737064
208,20800,-2.792819369,-3.189514697,0.396695328
209,20900,-2.768341741,-3.218860109,0.450518368
210,21000,-2.726798216,-3.255424602,0.528626386
211,21100,-2.777285479,-3.29785596,0.520570481
212,21200,-2.814478298,-3.336403519,0.521925221
213,21300,-2.813620951,-3.390557997,0.576937046
214,21400,-2.803594014,-3.392181915,0.5885879
215,21500,-2.822688647,-3.346189362,0.523500715
216,21600,-2.821507712,-3.352785674,0.531277962
217,21700,-2.816281251,-3.35189545,0.535614199
218,21800,-2.835830974,-3.246934354,0.41110338
219,21900,-2.939789988,-3.283565632,0.343775644
220,22000,-3.01132461,-3.301104244,0.289779634
