id,sitename,filename,lat,lon,elevation,country,gcmd_location,author,pub_year,title,journal
87,Deltaso,Deltasoe.Axford.2019.lpd,76.7595,-67.61,385,North America>Greenland,North America>Greenland,"Axford, Y.; Lasher, G.E.; Kelly, M.A.; Osterberg, E.C.; Landis, J.; Schellinger, G.C.; Pfeiffer, A.; Thompson, E.; Francis, D.R.",2019,Holocene temperature history of northwest Greenland     with new ice cap constraints and chironomid assemblages from Deltas,Quaternary Science Reviews
88,Demont,Demont.Kapp.NA.lpd,43.48,-85,248,North America>United States Of America>Michigan,North America>United States Of America>Michigan,NA,NA,NA,NA
89,Dempster Highway Peatland,DempsterPeatland.Porter.2019.lpd,65.21,-138.32,740,North America>Canada>Yukon Territory,North America>Canada>Yukon Territory,"Porter, Trevor J.; Schoenemann, Spruce W.; Davies, Lauren J.; Steig, Eric J.; Bandara, Sasiri; Froese, Duane G.",2019,Recent summer warming in northwestern Canada exceeds the Holocene thermal maximum,Nature Communications
90,Devils,Devils.Shuman.2016.lpd,43.42,-89.73,294,North America>United States Of America>Wisconsin,North America>United States Of America>Wisconsin,"Shuman, Bryan N.; Marsicek, Jeremiah",2016,The structure of Holocene climate change in mid-latitude North America,Quaternary Science Reviews
91,Devon Ice Cap,DevonIceCap.Paterson.1977.lpd,75.3167,-82.5,1830,North America>Canada>Nunavut,North America>Canada>Nunavut,"Paterson, W. S. B.; Koerner, R. M.; Fisher, D.; Johnsen, S. J.; Clausen, H. B.; Dansgaard, W.; Bucher, P.; Oeschger, H.",1977,"An oxygen-isotope climatic record from the Devon Island ice cap, arctic Canada",Nature
92,Devon Island Glacier,DevonIslandGlacier.McAndrews.1984.lpd,75.35,-82.5,1800,North America>Canada>Nunavut,North America>Canada>Nunavut,"McAndrews, John H.",1984,"Pollen analysis of the 1973 ice core from Devon Island Glacier, Canada",Quaternary Research
93,Donvold,Donvold.Nilssen.1983.lpd,68.13,13.58,10,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Nilssen, E.J.",1983,NA,NA
94,Duck,Duck.Winkler.1985.lpd,41.93,-70,2,North America>United States Of America>Massachusetts,North America>United States Of America>Massachusetts,"Winkler, Marjorie Green",1985,"A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts",Quaternary Research
95,Dura-Moor,Dura-Moor.Seiwald.1980.lpd,46.64,11.46,2080,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Seiwald, A.",1980,Beitraege zur Vegetationsgeschichte Tirols IV: Natzer Plateau - Villanderer Alm.,Ber. nat.-med. Verein Innsbruck
96,Duranunlak,Duranunlak.EPD.lpd,43.67,28.55,4,Europe>Eastern Europe>Bulgaria,Europe>Eastern Europe>Bulgaria,NA,NA,NA,NA
97,DYE3,DYE3.Dahl-Jensen.1998.lpd,65.1857,-43.8248,2490,North America>Greenland,North America>Greenland,"Dahl-Jensen, D.",1998,Past temperatures directly from the Greenland Ice Sheet,Science
98,Dye3,Dye3.Vinther.2006.lpd,65.1833,-43.82,2490,North America>Greenland,North America>Greenland,"Dansgaard, W.; Clausen, H. B.; Gundestrup, N.; Hammer, C. U.; Johnsen, S. F.; Kristinsdottir, P. M.; Reeh, N.",1982,A new Greenland deep ice core,Science
99,Eagle Tarn,EagleTarn.Rees.2010.lpd,-42.6799,146.5914,1040,Australia/New Zealand>Australia,Australia/New Zealand>Australia,"Rees, Andrew B.H.; Cwynar, Les C.",2010,"Evidence for early postglacial warming in Mount Field National Park, Tasmania",Quaternary Science Reviews
100,Lake EC1,EC1.Gajewski.1993.lpd,56.28,-75.1,250,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology
101,Lake EC2,EC2.Gajewski.1991.lpd,56.02,-74.95,300,America>Canada>Quebec,America>Canada>Quebec,"Gajewski, K.",1991,Repr̩sentation pollinique actuelle    la limite des arbres au Nouveau-Qu̩bec,Canadian Journal of Earth Sciences
102,EDML,EDML.Stenni.2010.lpd,-75.0025,0.0683,2892,Antarctica,Antarctica,"Stenni, B.; Masson-Delmotte, V.; Selmo, E.; Oerter, H.; Meyer, H.; R̦thlisberger, R.; Jouzel, J.; Cattani, O.; Falourd, S.; Fischer, H.; Hoffmann, G.; Iacumin, P.; Johnsen, S.J.; Minster, B.; Udisti, R.",2010,The deuterium excess records of EPICA Dome C and Dronning Maud Land ice cores (East Antarctica),Quaternary Science Reviews
103,Egelsee,Egelsee.Larocque.2010.lpd,47.18,8.58,770,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Larocque-Tobler, Isabelle; Heiri, Oliver; Wehrli, Michael",2010,"Late Glacial and Holocene temperature changes at Egelsee, Switzerland, reconstructed using subfossil chironomids",Journal of Paleolimnology
104,E Lake,ELake.Ritchie.1976.lpd,50.69,-99.66,735,North America>Canada>Manitoba,North America>Canada>Manitoba,"Ritchie, J. C.",1976,The late-Quaternary vegetational history of the western interior of Canada,Canadian Journal of Botany
105,Eldora Fen,Eldora.Maher.1969.lpd,39.94,-105.58,2848,North America>United States Of America>Colorado,North America>United States Of America>Colorado,NA,NA,NA,NA
106,Eleanor Lake,Eleanor.Gavin.2011.lpd,47.68,-124.02,710,North America>United States Of America>Washington,North America>United States Of America>Washington,"Gavin, Daniel G.; Henderson, Andrew C.G.; Westover, Karlyn S.; Fritz, Sherilyn C.; Walker, Ian R.; Leng, Melanie J.; Hu, Feng Sheng",2011,Abrupt Holocene climate change and potential response to solar forcing in western Canada,Quaternary Science Reviews
107,Efstadalsvatn,Elfstadalsvatn.Langdon.2008.lpd,65.5612,-22.4064,123,Atlantic Ocean>North Atlantic Ocean>Iceland,Atlantic Ocean>North Atlantic Ocean>Iceland,"Langdon, Peter G.; Holmes, Naomi; Caseldine, Chris J.",2008,Environmental controls on modern chironomid faunas from NW Iceland and implications for reconstructing climate change,Journal of Paleolimnology
108,ElGygytgyn Crater hillslopes,ElGygytgynCrater.Schwamborn.2006.lpd,67.441,172.219,520,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Schwamborn, Georg; Meyer, Hanno; Fedorov, Grigory; Schirrmeister, Lutz; Hubberten, Hans-W.",2006,"Ground ice and slope sediments archiving late Quaternary paleoenvironment and paleoclimate signals at the margins of El'gygytgyn Impact Crater, NE Siberia",Quaternary Research
109,Ennadai-1,Ennadai-1.Nichols.1967.lpd,61.1667,-100.9167,168,NA,North America>Canada>Nunavut,"Viau, A. E.",2009,"Reconstructing Millennial-Scale, Regional Paleoclimates of Boreal Canada during the Holocene",Journal of Climate
110,Ennadai-2,Ennadai-2.Nichols.1975.lpd,61.24,-100.95,325,North America>Canada>Nunavut,North America>Canada>Nunavut,"Nichols, H.",1975,"Palynological and paleoclimatic study of the late Quaternary displacements of the boreal forest-tundra ecotone in Keewatin and Mackenzie, N.W.T., Canada",NA
111,EPICA Dome C,EPICADomeC.Stenni.2010.lpd,-75.1019,123.3953,3233,Antarctica,Antarctica,"Stenni, B.; Masson-Delmotte, V.; Selmo, E.; Oerter, H.; Meyer, H.; R̦thlisberger, R.; Jouzel, J.; Cattani, O.; Falourd, S.; Fischer, H.; Hoffmann, G.; Iacumin, P.; Johnsen, S.J.; Minster, B.; Udisti, R.",2010,The deuterium excess records of EPICA Dome C and Dronning Maud Land ice cores (East Antarctica),Quaternary Science Reviews
112,ESM-1,ESM-1.Mackay.2012.lpd,52.0269,101.0591,1992,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Mackay, Anson W.; Bezrukova, Elena V.; Leng, Melanie J.; Meaney, Miriam; Nunes, Ana; Piotrowska, Natalia; Self, Angela; Shchetnikov, Alexander; Shilland, Ewan; Tarasov, Pavel; Wang, Luo; White, Dustin",2012,"Aquatic ecosystem responses to Holocene climate change and biome development in boreal, central Asia",Quaternary Science Reviews
113,Etang d'y Cor Montana,Etangd'yCorMontana.Welten.1982.lpd,46.31,7.48,1506,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft
114,Fan Lake,FanLake.Foster.2016.lpd,-54.497,-37.053,94,Atlantic Ocean>South Atlantic Ocean>South Georgia Island,Atlantic Ocean>South Atlantic Ocean>South Georgia Island,"Foster, Louise C.; Pearson, Emma J.; Juggins, Steve; Hodgson, Dominic A.; Saunders, Krystyna M.; Verleyen, Elie; Roberts, Stephen J.",2016,Development of a regional glycerol dialkyl glycerol tetraether (GDGT)   temperature calibration for Antarctic and sub-Antarctic lakes,Earth and Planetary Science Letters
115,Ferndale,Ferndale.Albert.1981.lpd,34.41,-95.81,263,North America>United States Of America>Oklahoma,North America>United States Of America>Oklahoma,"Albert, L.E., and D.G. Wyckoff",1981,Ferndale Bog and Natural Lake: Five thousand years of environmental change in southeastern Oklahoma,Studies in Oklahoma's Past
116,Flarken,Flarken.Berglund.1966.lpd,58.58,13.67,109,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Berglund, B.E.",1966,"Late-Quaternary vegetation in eastern Blekinge, south-eastern Sweden",Opera Botanica
117,Fontaine Henry,FontaineHenry.Lespez.2008.lpd,49.28,-0.45,20,Europe>Western Europe>France,Europe>Western Europe>France,"Lespez, Laurent; Clet-Pellerin, Martine; Limondin-Lozouet, Nicole; Pastre, Jean-Fran̤ois; Fontugne, Michel; Marcigny, Cyril",2008,Fluvial system evolution and environmental changes during the Holocene in the Mue valley (western France),Geomorphology
118,Frozen Lake,Frozen.Rosenberg.2004.lpd,49.6,-121.467,1180,North America>Canada>British Columbia,North America>Canada>British Columbia,"Rosenberg, Sandra M.; Walker, Ian R.; Mathewes, Rolf W.; Hallett, Douglas J.",2004,"Midge-inferred Holocene climate history of two subalpine lakes in southern British Columbia, Canada",The Holocene
119,Gass,Gass.Webb.1983.lpd,44.05,-87.73,211,North America>United States Of America>Wisconsin,North America>United States Of America>Wisconsin,"Webb, S.L.",1983,The Holocene extension of the range of American Beech (Fagus grandifolia) into Wisconsin: Paleoecological evidence for long-distance seed dispersal,NA
120,Lake GB1,GB1.Gajewski.1991.lpd,55.11,-75.25,325,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.",1991,Repr̩sentation pollinique actuelle    la limite des arbres au Nouveau-Qu̩bec,Canadian Journal of Earth Sciences
121,Lake GB2,GB2.Gajewski.1993.lpd,56.1,-75.28,300,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology
122,Gemini,Gemini.Samartin.2017.lpd,44.3894,10.0475,1349,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Samartin, S.; Heiri, O.; Joos, F.; Renssen, H.; Franke, J.; Broennimann, S.; Tinner, W.",2017,Warm Mediterranean mid-Holocene summers inferred from fossil midge assemblages,Nature Geoscience
123,GeoB6518-1,GeoB65181_MBT.Weijers.2007.lpd,-5.6,11.2,-962,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Weijers, J. W. H.; Schefuss, E.; Schouten, S.; Damste, J. S. S.",2007,Coupled thermal and hydrological evolution of tropical Africa over the last deglaciation,Science
124,Giecz,Giecz.Milecka.2002.lpd,52.32,17.36,100,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Milecka, K.; Szeroczynska, K.",2002,Tymczasowa informacja o paleoekologii i paleolimnologii Jeziora Ostrowite na podstawie glebokowodnego rdzenia (z SW czesci zbionika),"Park Narodowy ""Bory Tucholskie"". (National Park ""Bory Tucholskie"")"
125,Giering,Giering.Bortenschlager.1976.lpd,47.47,12.36,820,Europe>Western Europe>Austria,Europe>Western Europe>Austria,"Bortenschlager, I.",1976,Beitraege zur Vegetationsgeschichte Tirols II: Kufstein - Kitzbuehel - Pass Thurn,Ber. nat.-med. Verein Innsbruck
126,Glaswaldsee,Glaswaldsee.EPD.lpd,48.43,8.25,839,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Roesch, M.",2009,Zur vorgeschichtlichen Besiedlung und Landnutzung im noerdlichen Schwarzwald aufgrund vegetationsgeschichtlicher Untersuchungen in zwei Karseen. [Prehistoric settlement and land use history of the Northern Black Forest as indicated by pollenanalytical investigations in two cirque lakes],Mitt. Ver. Forstl. Standortskunde u. Forstpflanzenzuechtung
127,Godziszewskie Lake,GodziszewskieLake.Miotk.1986.lpd,54.09,18.55,71,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Miotk, G.",1986,Badania palinologiczne osadow z polnocnego obrzeza jeziora Godziszewskiego kolo Tczewa/woj,gdanskie Fizjograficzne na Polska Zach
128,Gondo Alpjen,GondoAlpjen.Welten.1982.lpd,46.21,8.11,1724,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft
129,Gosciaz,Gosciaz.Welten.1982.lpd,52.58,19.35,64,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft
130,Gould,Gould.Anderson.2008.lpd,44.98,-69.32,89,North America>United States Of America>Maine,North America>United States Of America>Maine,"Anderson, R. Scott; Jacobson, George L.; Davis, Ronald B.; Stuckenrath, Robert",2008,"Gould Pond, Maine: Late-glacial transitions from marine to upland environments",Boreas
131,Graechen See,GraechenSee.Krisai.2006.lpd,46.2,7.85,1725,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Krisai, R.; Mayer, W.; Schroeck, C.; Tuerk, R.",2006,"Das Gradenmoos in der Schobergruppe (NP Hohe Tauern, Kaerten) Vegetation und Entstehung",Carinthia II
132,Graham,Graham.Fuller.1997.lpd,45.18,-77.35,381,North America>Canada>Ontario,North America>Canada>Ontario,"Fuller, Janice L.",1997,"Holocene forest dynamics in southern Ontario, Canada: Fine-resolution pollen data",Canadian Journal of Botany
133,Grande Briere,GrandeBriere.Visset.1979.lpd,47.37,-2.25,80,Europe>Western Europe>France,Europe>Western Europe>France,"Visset, L.",1979,Recherches palynologiques sur la vegetation Pleistocene et Holocene de quelques sites du district phytogeographique de Basse-Loire,NA
134,Gravel Ridge,GravelRidge.Lamb.1985.lpd,55.03,-62.63,565,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Lamb, H. F.",1985,Palynological evidence for postglacial change in the position of tree limit in Labrador,Ecological Monographs
135,Great Basin,GreatBasin.Salzer.2014.lpd,38,-116.5,0,North America>United States Of America>Nevada,North America>United States Of America>Nevada,"Salzer, Matthew W.; Bunn, Andrew G.; Graham, Nicholas E.; Hughes, Malcolm K.",2014,"Five millennia of paleotemperature from tree-rings in the Great Basin, USA",Climate Dynamics
136,Grenadier,Grenadier.McAndrews.1988.lpd,43.64,-79.47,76,North America>Canada>Ontario,North America>Canada>Ontario,"McCarthy, FrancineM.G.; McAndrews, JohnH.",1988,"Water levels in Lake Ontario 4230-2000 years B.P.: Evidence from Grenadier Pond, Toronto, Canada",Journal of Paleolimnology
137,Grey Islands,GreyIslands.Cullen.2002.lpd,50.77,-55.52,104,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Evans, N.S.",2002,"An investigation of the Holocene pollen record from the Grey Islands, Newfoundland",NA
138,GRIP,GRIP.Vinther.2006.lpd,72.58,-37.63,3237,NA,North America>Greenland,"Johnsen, Sigfus J.; Dahl-Jensen, Dorthe; Dansgaard, Willi; Gundestrup, Niels",1995,Greenland palaeotemperatures derived from GRIP bore hole temperature and ice core isotope profiles,Tellus B: Chemical and Physical Meteorology
139,GYXO,GYXO.Self.2015.lpd,68.165,92.1731,569,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Self, Angela E; Jones, Vivienne J; Brooks, Steve J",2015,Late Holocene environmental change in arctic western Siberia,The Holocene
140,H214,H214.Samson.2005.lpd,-36.9225,177.4392,-2045,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Samson, Catherine R.; Sikes, Elisabeth L.; Howard, William R.",2005,"Deglacial paleoceanographic history of the Bay of Plenty, New Zealand",Paleoceanography
141,Haengstli,Haengstli.Heeb.1972.lpd,46.79,7.83,1252,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Heeb, K.; Welten, M.",1972,Moore und Vegetationsgeschichte der Schwarzenegg und des Molassevorlandes zwischen dem Aaretal unterhalb Thun und dem obern Emmental. Mitteilungen der Naturforschenden Gesellschaft in Bern.,Neue Folge
142,Hams,Hams.Bennett.1987.lpd,43.24,-80.41,301,North America>Canada>Ontario,North America>Canada>Ontario,"Bennett, K. D.",1987,Holocene history of forest trees in southern Ontario,Canadian Journal of Botany
143,Hamundarstadhahals,Hamundarstadhahals.Caseldine.2006.lpd,65.97,-18.45,100,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Caseldine, Chris; Langdon, Peter; Holmes, Naomi",2006,Early Holocene climate variability and the timing and extent of the Holocene Thermal Maximum (HTM) in northern Iceland,Quaternary Science Reviews
144,Hanging Lake,Hanging.Cwynar.1982.lpd,68.38,-138.38,500,North America>Canada>Yukon Territory,North America>Canada>Yukon Territory,"Cwynar, Les C.",1982,"A Late-Quaternary vegetation history from Hanging Lake, Northern Yukon",Ecological Monographs
145,Hani,Hani.Zheng.2017.lpd,42.2167,126.517,910,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Zheng, Yanhong; Pancost, Richard D.; Liu, Xiaodong; Wang, Zhangzhang; Naafs, B.D.A.; Xie, Xiaoxun; Liu, Zhao; Yu, Xuefeng; Yang, Huan",2017,Atmospheric connections with the North Atlantic enhanced the deglacial warming in northeast China,Geology
146,HAP0212,HAP0212.vanderBilt.2016.lpd,79.26,11.52,12,Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen,Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen,"van der Bilt, Willem G.M.; D'Andrea, William J.; Bakke, Jostein; Balascio, Nicholas L.; Werner, Johannes P.; Gjerde, Marthe; Bradley, Raymond S.",2018,Alkenone-based reconstructions reveal four-phase Holocene temperature evolution for high arctic Svalbard,Quaternary Science Reviews
147,Harrie,Harrie.King.1986.lpd,52.93,-66.95,530,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"King, G.A.",1986,Deglaciation and vegetation history of western Labrador and adjacent Quebec,NA
148,Haukdalsvatn,Haukdalsvatn.Larsen.2013.lpd,65.03,-21.37,32,Europe>Northern Europe>Iceland,Europe>Northern Europe>Iceland,"Geirsd _ttir, _slaug; Miller, Gifford H.; Larsen, Darren J.;   lafsd _ttir, S _d _s",2013,Abrupt Holocene climate transitions in the northern North Atlantic region recorded by synchronized lacustrine records in Iceland,Quaternary Science Reviews
149,Havre de Crabec,HavredeCrabec.Coutard.2006.lpd,49.68,-1.28,2,Europe>Western Europe>France,Europe>Western Europe>France,"Coutard, S.; Clet-Pellerin, M.",2006,"Evolution de la sedimentation et de la vegetation pendant l'Holocene dans les marais arriere-littoraux du Val de Saire (Cotentin, Normandie)","L'erosion entre Societe, Climat et Paleoenvironnements"
150,Hawke Hills Kettle,HawkeHillsKettle.Macpherson.1982.lpd,47.32,-53.13,220,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Brown Macpherson, Joyce",1982,"Postglacial vegetational history of the eastern Avalon Peninsula, Newfoundland, and Holocene climatic change along the eastern Canadian seaboard",G̩ographie physique et Quaternaire
151,Heihai Lake,HeihaiLake.Chang.2017.lpd,27.36,100.07,4118,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Chang, Jie; Zhang, Enlou; Liu, Enfeng; Shulmeister, James",2017,Summer temperature variability inferred from subfossil chironomid assemblages from the south-east margin of the Qinghai   Tibetan Plateau for the last 5000 years,The Holocene
152,Heshang Cave,HeshangCave.Wang.2018.lpd,30.45,110.4167,294,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Wang, Canfa; Bendle, James A.; Zhang, Hongbin; Yang, Yi; Liu, Deng; Huang, Junhua; Cui, Jingwei; Xie, Shucheng",2018,Holocene temperature and hydrological changes reconstructed by bacterial 3-hydroxy fatty acids in a stalagmite from central China,Quaternary Science Reviews
153,Hidden Lake CA,HiddenLakeCA.Potito.2006.lpd,38.2613,-119.5365,2379,NA,North America>United States Of America>California,"Potito, Aaron P.",2006,"A late Quaternary chironomid-inferred temperature record from the Sierra Nevada, California, with connections to northeast Pacific sea surface temperatures",Quaternary Research
154,High,High.Fuller.1997.lpd,44.52,-76.6,192,North America>Canada>Ontario,North America>Canada>Ontario,"Fuller, Janice L.",1997,"Holocene forest dynamics in southern Ontario, Canada: Fine-resolution pollen data",Canadian Journal of Botany
155,Hinterburgsee,Hinterburgsee.Heiri.2015.lpd,46.7176,8.0677,1515,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,NA,NA,NA,NA
156,Hinterburgsee,Hinterburgseeli.EPD.lpd,46.72,8.07,1519,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,NA,NA,NA,NA
157,Hirvijaervi,Hirvijaervi.Luoto.2010.lpd,60.51,25.23,104,Europe>Northern Europe>Scandinavia>Finland,Europe>Northern Europe>Scandinavia>Finland,"Luoto, Tomi P.; Kultti, Seija; Nevalainen, Liisa; Sarmaja-Korjonen, Kaarina",2010,Temperature and effective moisture variability in southern Finland during the Holocene quantified with midge-based calibration models,Journal of Quaternary Science
158,Hjort,HjortSo.Wagner.2008.lpd,76.4331,-18.7614,114,North America>Greenland,North America>Greenland,"Wagner, Bernd; Bennike, Ole; Bos, Johanna A. A.; Cremer, Holger; Lotter, Andr̩ F.; Melles, Martin",2008,"A multidisciplinary study of Holocene sediment records from Hjort S   on Store Koldewey, northeast Greenland",Journal of Paleolimnology
159,HM03_133_25,HM03_133_25.Solignac.2008.lpd,60.11,-6.07,1156,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Solignac, Sandrine; Grelaud, Michael; de Vernal, Anne; Giraudeau, Jacques; Moros, Matthias; McCave, I. Nicholas; Hoogakker, Babette",2008,Reorganization of the upper ocean circulation in the mid-Holocene in the northeastern Atlantic,Canadian Journal of Earth Sciences
160,Holtjaernen,Holtjaernen.Giesecke.2008.lpd,60.6519,14.9264,232,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Giesecke, T.; Bjune, A.E.; Chiverrell, R.C.; Sepp _, H.; Ojala, A.E.K.; Birks, H.J.B.",2008,Exploring Holocene continentality changes in Fennoscandia using present and past tree distributions,Quaternary Science Reviews
161,Holzmaar,Holzmaar.Litt.2009.lpd,50.1167,6.8833,425,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Litt, Thomas; Sch̦lzel, Christian; K _hl, Norbert; Brauer, Achim",2009,Vegetation and climate history in the Westeifel Volcanic Field (Germany) during the past 11 000 years based on annually laminated lacustrine maar sediments,Boreas
162,HomesteadScarp,HomesteadScarp.McGlone.2010.lpd,-52.5518,169.138,30,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"McGlone, Matt S.; Turney, Chris S. M.; Wilmshurst, Janet M.; Renwick, James; Pahnke, Katharina",2010,"Divergent trends in land and ocean temperature in the Southern Ocean over the past 18,000 years",Nature Geoscience
163,Lake Hope Simpson,HopeSimpson.Engstrom.1985.lpd,52.45,-56.43,295,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Engstrom, D. R.; Hansen, B. C. S.",1985,Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy,Canadian Journal of Botany
164,Hulun Lake,HulunLake.Wen.2009.lpd,49.13,117.5,545.3,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Wen, Ruilin; Xiao, Jule; Chang, Zhigang; Zhai, Dayou; Xu, Qinghai; Li, Yuecong; Itoh, Shigeru",2010,"Holocene precipitation and temperature variations in the East Asian monsoonal margin from pollen data from Hulun Lake in northeastern Inner Mongolia, China",Boreas
165,Humber Pond 3,HumberPond3.McAndrews.1989.lpd,43.64,-79.48,74,North America>Canada>Ontario,North America>Canada>Ontario,"Weninger, J. M.; McAndrews, J. H.",1989,"Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario",Canadian Journal of Earth Sciences
166,Humber Pond 5,HumberPond5.McAndrews.1989.lpd,43.64,-79.49,74,North America>Canada>Ontario,North America>Canada>Ontario,"Weninger, J. M.; McAndrews, J. H.",1989,"Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario",Canadian Journal of Earth Sciences
167,Hurleg lake,HurlegLake.Zhao.2013.lpd,37.28,96.91,2817,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Zhao, Cheng; Liu, Zhonghui; Rohling, Eelco J.; Yu, Zicheng; Liu, Weiguo; He, Yuxin; Zhao, Yan; Chen, Fahu",2013,Holocene temperature fluctuations in the northern Tibetan Plateau,Quaternary Research
168,Hvitarvatn,Hvitarvatn.Larsen.2013.lpd,64.6167,-19.85,422,Europe>Northern Europe>Iceland,Europe>Northern Europe>Iceland,"Geirsd _ttir, _slaug; Miller, Gifford H.; Larsen, Darren J.;   lafsd _ttir, S _d _s",2013,Abrupt Holocene climate transitions in the northern North Atlantic region recorded by synchronized lacustrine records in Iceland,Quaternary Science Reviews
169,Hypkana,Hypkana.Hajkova.2016.lpd,48.9131,22.1636,820,Europe>Eastern Europe>Slovakia,Europe>Eastern Europe>Slovakia,"H  jkov  , Petra; Pa  il, Petr; Petr, Libor; Chattov  , Barbora; Matys Grygar, Tom",2016,A first chironomid-based summer temperature reconstruction (13   5 ka BP) around 49  N in inland Europe compared with local lake development,Quaternary Science Reviews
170,Iglutalik Lake,Iglutalik.Kerwin.2004.lpd,66.14,-66.08,90,NA,North America>Canada>Nunavut,"Kerwin, Michael W.",2004,"Pollen-based summer temperature reconstructions for the eastern Canadian boreal forest, subarctic, and Arctic",Quaternary Science Reviews
171,Indian,Indian.Bjorck.1985.lpd,50.92,-90.45,383,North America>Canada>Ontario,North America>Canada>Ontario,"Bj̦rck, Svante",1985,Deglaciation chronology and revegetation in northwestern Ontario,Canadian Journal of Earth Sciences
172,Irvin,Irvin.Cushing.1982.lpd,47.14,-93.64,478,North America>United States Of America>Minnesota,North America>United States Of America>Minnesota,"Alwin, B.C.",1982,"Vegetation history of the Sugar Hills area, Itasca Co., Minnesota",NA
173,Isokaerret,Isokaerret.Asplund.1989.lpd,60.22,22.13,16,Atlantic Ocean>North Atlantic Ocean>Baltic Sea,Atlantic Ocean>North Atlantic Ocean>Baltic Sea,"Asplund, H.; Vuorela, I.",1989,Settlement studies in Kemioe - Archaeological problems and palynological evidence,Fennoskandia Archaeologica
174,Jake,Jake.Kerwin.2005.lpd,63.67,-65.15,300,North America>Canada>Nunavut,North America>Canada>Nunavut,"Miller, Gifford H.; Wolfe, Alexander P.; Briner, Jason P.; Sauer, Peter E.; Nesje, Atle",2005,"Holocene glaciation and climate evolution of Baffin Island, Arctic Canada",Quaternary Science Reviews
