"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"191",191,61.8211,16.4044,"Klotjaernen","Klotjaernen.Pollen.Sweden.lpd",235,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Giesecke, T.; Bjune, A.E.; Chiverrell, R.C.; Sepp _, H.; Ojala, A.E.K.; Birks, H.J.B.",2008,"Exploring Holocene continentality changes in Fennoscandia using present and past tree distributions","Quaternary Science Reviews","LakeSediment",-59.8566,9497.06,"pollen",111,9,"this compilation"
"192",192,36.88,28.64,"Koeycegiz Goelue","KoeycegizGoelue.EPD.lpd",20,"Asia>Western Asia>Turkey","Asia>Western Asia>Turkey",NA,NA,NA,NA,"LakeSediment",1.52,5438.86,"pollen",47,6,"this compilation"
"193",193,-74.083,97.4833,"Komsomolskaia","Komosomolskaia.Ciais.1992.lpd",3499,"Antarctica","Antarctica","Ciais, P; Petit, J R; Jouzel, J; Lorius, C; Barkov, N I; Lipenkov, V; Nicola  ev, V",1992,"Evidence for an early Holocene climatic optimum in the Antarctic deep ice-core record","Climate Dynamics","GlacierIce",0,14934.1,"dD",851,NA,"this compilation"
"194",194,34,97.2,"Koucha","Koucha.Herzschuh.2009.lpd",4540,"Asia>Eastern Asia>China","Asia>Eastern Asia>China","Herzschuh, Ulrike; Kramer, Annette; Mischke, Steffen; Zhang, Chengjun",2009,"Quantitative climate and vegetation trends since the late glacial on the northeastern Tibetan Plateau deduced from Koucha Lake pollen spectra","Quaternary Research","LakeSediment",0,16438,"pollen",66,9,"this compilation"
"195",195,71.34,-113.78,"KR02","KR02Chironomid.Fortin.2010.lpd",299,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Fortin, Marie-Claude; Gajewski, Konrad",2010,"Postglacial environmental history of western Victoria Island, Canadian Arctic","Quaternary Science Reviews","LakeSediment",-44.95,10085.8,"chironomid",93,7,"this compilation"
"196",196,71.34,-113.78,"KR02","KR02Pollen.Peros.2008.lpd",299,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Peros, Matthew C.; Gajewski, Konrad",2008,"Holocene climate and vegetation change on Victoria Island, western Canadian Arctic","Quaternary Science Reviews","LakeSediment",-48,10101.5012,"pollen",69,9,"www.ncdc.noaa.gov/paleo/study/15444"
"197",197,68.35,-154.61,"Kurupa Lake","Kurupa.Boldt.2015.lpd",920,"North America>United States Of America>Alaska","North America>United States Of America>Alaska","Boldt, Brandon R; Kaufman, Darrell S; McKay, Nicholas P; Briner, Jason P",2015,"Holocene summer temperature reconstruction from sedimentary chlorophyll content, with treatment of age uncertainties, Kurupa Lake, Arctic Alaska","The Holocene","LakeSediment",-52.909,5593.69,"chlorophyll",1997,8,"www.ncdc.noaa.gov/paleo/study/18995"
"198",198,69.6285,123.6481,"Kyutyunda","Kyutyunda.Biskaborn.2016.lpd",66,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Biskaborn, B.K.; Subetto, D.A.; Savelieva, L.A.; Vakhrameeva, P.S.; Hansche, A.; Herzschuh, U.; Klemm, J.; Heinecke, L.; Pestryakova, L.A.; Meyer, H.; Kuhn, G.; Diekmann, B.",2016,"Late Quaternary vegetation and lake system dynamics in north-eastern Siberia: Implications for seasonal climate variability","Quaternary Science Reviews","LakeSediment",90.3684,12085.6,"pollen",30,9,"10.1594/PANGAEA.848906"
"199",199,-5.7,11.23,"KZAI_01","KZAI_01.Hardy.2018.lpd",-816,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Hardy, William; Marret, Fabienne; Penaud, Aur̩lie; le M̩zo, Priscilla; Droz, Laurence; Marsset, Tania; Kageyama, Masa",2018,"Quantification of last glacial-Holocene net primary productivity and upwelling activity in the equatorial eastern Atlantic with a revised modern dinocyst database","Palaeogeography, Palaeoclimatology, Palaeoecology","MarineSediment",1540,43422,"dinocyst",190,9,"this compilation"
"200",200,50.42,-74.2297,"Lac Aurelie","LacAurelie.Bajolle.2018.lpd",440,"North America>Canada>Quebec","North America>Canada>Quebec","Bajolle, Lisa; Larocque-Tobler, Isabelle; Gandouin, Emmanuel; Lavoie, Martin; Bergeron, Yves; Ali, Adam A.",2018,"Major postglacial summer temperature changes in the central coniferous boreal forest of Quebec (Canada) inferred using chironomid assemblages","Journal of Quaternary Science","LakeSediment",-19,8282.12,"chironomid",164,8,"www.ncdc.noaa.gov/paleo/study/24370"
