"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"236",236,42.68,-72.19,"Little Pond","LittlePondRoyalston.Marsicek.2013.lpd",302,"North America>United States Of America>Massachusetts","North America>United States Of America>Massachusetts","Marsicek, Jeremiah P.; Shuman, Bryan; Brewer, Simon; Foster, David R.; Oswald, W. Wyatt",2013,"Moisture and temperature changes associated with the mid-Holocene Tsuga decline in the northeastern United States","Quaternary Science Reviews","LakeSediment",0,11000,"pollen",221,10,"this compilation"
"237",237,66.52,59.3,"Llet-Ti","Llet-T.liranta.2015.lpd",50,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","V _liranta, M.; Salonen, J. S.; Heikkil _, M.; Amon, L.; Helmens, K.; Klimaschewski, A.; Kuhry, P.; Kultti, S.; Poska, A.; Shala, S.; Veski, S.; Birks, H. H.",2015,"Plant macrofossil evidence for an early onset of the Holocene summer thermal maximum in northernmost Europe","Nature Communications","LakeSediment",NA,NA,"pollen",99,9,"this compilation"
"238",238,47.03,7.3,"Lobsigensee","Lobsigensee.Ammann.1985.lpd",514,"Europe>Western Europe>Switzerland","Europe>Western Europe>Switzerland","Ammann, B.",1985,"Introduction and palynology: Vegetational history and core correlation at Lobsigensee (Swiss Plateau)","Dissertationes Botanicae","LakeSediment",447.16,10736.64,"pollen",172,6,"this compilation"
"239",239,56.96,-3.2296,"Lochnagar 30","Lochnagar30.Dalton.2005.lpd",788,"Europe>Northern Europe>British Isles>Scotland","Europe>Northern Europe>British Isles>Scotland","Dalton, Catherine; Birks, H.J.B.; Brooks, Stephen J.; Cameron, Nigel G.; Evershed, Richard P.; Peglar, Sylvia M.; Scott, Julie A.; Thompson, Roy",2005,"A multi-proxy study of lake-development in response to catchment changes during the Holocene at Lochnagar, north-east Scotland","Palaeogeography, Palaeoclimatology, Palaeoecology","LakeSediment",2794,9411,"chironomid",23,9,"this compilation"
"240",240,56.72,-119.72,"Lone Fox Lake","LoneFoxLake.MacDonald.1985.lpd",1100,"North America>Canada>Alberta","North America>Canada>Alberta","MacDonald, Glen M.; Cwynar, Les C.",1985,"A fossil pollen based reconstruction of the late Quaternary history of lodgepole pine (Pinus contorta ssp. latifolia) in the western interior of Canada","Canadian Journal of Forest Research","LakeSediment",-32,10864.1,"pollen",37,8,"this compilation"
"241",241,-46.23,167.83,"Longwoods","Longwoods.Wilmshurst.2007.lpd",60,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP","Journal of Quaternary Science","Peat",914.462,16974.3,"pollen",32,9,"this compilation"
"242",242,45.03,-68.2,"Loon Pond","LoonPond.Jacobson.Ja.lpd",110,"North America>United States Of America>Maine","North America>United States Of America>Maine","Jacobson, G.L., Jr.",1975,"A palynological study of the history and ecology of white pine in Minnesota",NA,"LakeSediment",-26.7,10321.1,"pollen",49,7,"this compilation"
"243",243,46.72,-87.97,"Lost Lake-MI","LostLake_MI.Brubaker.1975.lpd",524,"North America>United States Of America>Michigan","North America>United States Of America>Michigan","Brubaker, Linda B.",1975,"Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan","Quaternary Research","LakeSediment",0,10602.3,"pollen",33,7,"this compilation"
"244",244,54.7282,-8.6794,"Lough Meenachrinna","LoughMeenachrinna.Taylor.2018.lpd",286,"Europe>Northern Europe>British Isles>Ireland","Europe>Northern Europe>British Isles>Ireland","Taylor, Karen J.; McGinley, Seamus; Potito, Aaron P.; Molloy, Karen; Beilman, David W.",2018,"A mid to late Holocene chironomid-inferred temperature record from northwest Ireland","Palaeogeography, Palaeoclimatology, Palaeoecology","LakeSediment",2048.2,7047.4,"chironomid",67,8,"this compilation"
"245",245,52.95,-131.76,"Louise Pond","LouisePond.Mathewes.1994.lpd",650,"North America>Canada>British Columbia","North America>Canada>British Columbia","Pellatt, Marlow G.; Mathewes, Rolf W.",1994,"Paleoecology of postglacial tree line fluctuations on the Queen Charlotte Islands, Canada","coscience","LakeSediment",61.7,10974,"pollen",49,8,"this compilation"
"246",246,58.583,-75.25,"Lake LR1","LR1.Gajewski.1993.lpd",170,"North America>Canada>Quebec","North America>Canada>Quebec","Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,"Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec","The Journal of Ecology","LakeSediment",88,7570,"pollen",21,7,"this compilation"
"247",247,58.58,-75.25,"Lake LR3","LR3.Gajewski.1992.lpd",160,"North America>Canada>Quebec","North America>Canada>Quebec","Gajewski, K.; Garralla, Silvina",1992,"Holocene vegetation histories from three sites in the tundra of northwestern Quebec, Canada","Arctic and Alpine Research","LakeSediment",74,5796,"pollen",16,7,"this compilation"
"248",248,43.73,40.69,"Luganskoe","Luganskoe.Kvavadze.1994.lpd",2428,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Kvavadze, E.V.; Efremov, Yu.V.; Bukreeva, G.V.; Akatov, V.V.",1994,"Palynological characteristic of the series of lacustrine and paludal deposites of the Holocene in the headwaters of the Zakan river (western Caucasus)","Bulletin of the Georgian Academy of Sciences","Peat",328.05,5584.21,"pollen",28,6,"this compilation"
"249",249,56.84,-101.04,"Lynn","Lynn.Nichols.1967.lpd",340,"North America>Canada>Manitoba","North America>Canada>Manitoba","Nichols, H.",1967,"Central Canadian palynology and its relevance to northwestern Europe in the late Quaternary period","Review of Palaeobotany and Palynology","LakeSediment",314.2,7428,"pollen",30,7,"this compilation"
"250",250,37.036,13.19,"M40-4-SL78","M40-4-SL78.Emeis.2003.lpd",-470,"Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Emeis, Kay-Christian; Dawson, Alastair G.",2003,"Holocene palaeoclimate records over Europe and the North Atlantic","The Holocene","MarineSediment",20,11380,"alkenone",72,NA,"10.1594/PANGAEA.438795"
"251",251,-18.2412,37.8685,"M75_3_137_3","M75_3_137_3.Wang.2013.lpd",-1339,"Indian Ocean","Indian Ocean","Wang, Yiming V.; Leduc, Guillaume; Regenberg, Marcus; Andersen, Nils; Larsen, Thomas; Blanz, Thomas; Schneider, Ralph R.",2013,"Northern and southern hemisphere controls on seasonal sea surface temperatures in the Indian Ocean during the last deglaciation","Paleoceanography","MarineSediment",101,36199,"alkenone",136,9,"10.1594/PANGAEA.819999,10.1594/PANGAEA.820000,10.1594/PANGAEA.820001"
"252",252,-3.7498,-81.1247,"M77_2_056_5","M77_2_056_5.Neurnberg.2015.lpd",-355,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Nuernberg, Dirk",2015,"Sea surface and subsurface circulation dynamics off equatorial Peru during the last ~17 kyr","Paleoceanography","MarineSediment",30,13150,"Mg/Ca",212,10,"10.1594/PANGAEA.848847"
"253",253,-25.4475,153.0533,"Lake Mackenzie","Mackenzie.Woltering.2014.lpd",90,"Australia/New Zealand>Australia","Australia/New Zealand>Australia","Woltering, Martijn; Atahan, Pia; Grice, Kliti; Heijnis, Henk; Taffs, Kathryn; Dodson, John",2014,"Glacial and Holocene terrestrial temperature variability in subtropical east Australia as inferred from branched GDGT distributions in a sediment core from Lake McKenzie","Quaternary Research","LakeSediment",-48,37261,"GDGT",41,7,"this compilation"
"254",254,-11.2939,34.4372,"Lake Malawi","Malawi.Johnson.2016.lpd",500,"Africa>Eastern Africa>Lake Malawi","Africa>Eastern Africa>Lake Malawi","Johnson, T. C.; Werne, J. P.; Brown, E. T.; Abbott, A.; Berke, M.; Steinman, B. A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.; Scholz, C. A.; Lyons, R. P.; Schouten, S.; Damst̩, J. S. Sinninghe",2016,"A progressively wetter climate in southern East Africa over the past 1.3 million years","Nature","LakeSediment",360.961,1277346.101,"GDGT",407,8,"www.ncdc.noaa.gov/paleo/study/21890"
"255",255,41.7,23.03,"Maleshevska Mountains Peat Bog","MaleshevskaBog.Tonkov.1992.lpd",1720,"Europe>Eastern Europe>Bulgaria","Europe>Eastern Europe>Bulgaria","Tonkov, S.; Bozilova, E.D.B.",1992,"Pollen analysis of peat bog in Maleshevska mountain (SW Bulgaria)","Annual of Sofia University, Faculty of Biology","Peat",7.26,7708.44,"pollen",41,6,"this compilation"
"256",256,45.04,-68.73,"Mansell","Mansell.Shuman.2016.lpd",57,"North America>United States Of America>Maine","North America>United States Of America>Maine","Shuman, Bryan N.; Marsicek, Jeremiah",2016,"The structure of Holocene climate change in mid-latitude North America","Quaternary Science Reviews","LakeSediment",-30,10330.19,"pollen",110,10,"this compilation"
"257",257,44.2,-79.51,"Marais de Keswick","MaraisdeKeswick.Larouche.1986.lpd",221,"North America>Canada>Ontario","North America>Canada>Ontario","Dinel, H.; Richard, P. J. H.; Lev̩sque, P. E. M.; Larouche, A.",1986,"Origine et ̩volution du marais tourbeux de Keswick, Ontario, par l'analyse pollinique et macrofossile","Canadian Journal of Earth Sciences","LakeSediment",47,4328,"pollen",48,7,"this compilation"
"258",258,51.268,167.725,"MD01-2416","MD01-2416.Sarnthien.2004.lpd",-2317,"Pacific Ocean>North Pacific Ocean","Pacific Ocean>North Pacific Ocean","Sarnthein, M.; Gebhardt, H.; Kiefer, T.; Kucera, M.; Cook, M.; Erlenkeuser, H.",2004,"Mid Holocene origin of the sea-surface salinity low in the subarctic North Pacific","Quaternary Science Reviews","MarineSediment",NA,NA,"foraminifera",41,24,"10.1594/PANGAEA.738119"
"259",259,37.565,-10.134,"MD01-2444","MD01-2444.Martrat.2007.lpd",-2656,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Martrat, B.; Grimalt, J. O.; Shackleton, N. J.; de Abreu, L.; Hutterli, M. A.; Stocker, T. F.",2007,"Four climate cycles of recurring deep and surface water destabilizations on the Iberian margin","Science","MarineSediment",60,420000,"alkenone",1532,NA,"10.1594/PANGAEA.771891"
"260",260,39.0558,-12.624,"MD01-2446","MD01-2446.Salguero.2014.lpd",-3570,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Salgueiro, E.; Naughton, F.; Voelker, A.H.L.; de Abreu, L.; Alberto, A.; Rossignol, L.; Duprat, J.; Magalḥes, V.H.; Vaqueiro, S.; Turon, J.-L.; Abrantes, F.",2014,"Past circulation along the western Iberian margin: A time slice vision from the Last Glacial to the Holocene","Quaternary Science Reviews","MarineSediment",2290,20012,"foraminifera",55,7,"10.1594/PANGAEA.857146"
"261",261,-36.9607,137.4065,"MD03_2607","MD03_2607-Assemblage.LopesdosSantos.2013.lpd",-865,"Indian; Great Australian Bight","Indian; Great Australian Bight","Lopes dos Santos, Raquel A.; Spooner, Michelle I.; Barrows, Timothy T.; De Deckker, Patrick; Sinninghe Damst̩, Jaap S.; Schouten, Stefan",2013,"Comparison of organic (U K' 37, TEX H 86, LDI) and faunal proxies (foraminiferal assemblages) for reconstruction of late Quaternary sea surface temperature variability from offshore southeastern Australia","Paleoceanography","MarineSediment",1100,134800,"alkenone",172,12,"10.1594/PANGAEA.820841,10.1594/PANGAEA.820842,10.1594/PANGAEA.823119"
"262",262,-66.0512,138.5572,"MD03-2601","MD03-2601.Kim.2012.lpd",-746,"Southern Ocean","Southern Ocean","Kim, Jung-Hyun; Crosta, Xavier; Willmott, Veronica; Renssen, Hans; Bonnin, J̩r̫me; Helmke, Peer; Schouten, Stefan; Sinninghe Damst̩, Jaap S.",2012,"Holocene subsurface temperature variability in the eastern Antarctic continental margin: ANTARCTIC HOLOCENE TEMPERATURE","Geophysical Research Letters","MarineSediment",1016,9373,"GDGT",46,12,"this compilation"
"263",263,-66,138.6,"DurvilleTrough","MD032601.Crosta.2007.lpd",-746,"Southern Ocean","Southern Ocean","Crosta, X.; Debret, M.; Denis, D.; Courty, M. A.; Ther, O.",2007,"Holocene long- and short-term climate changes off Ad̩lie Land, East Antarctica","Geochemistry, Geophysics, Geosystems","MarineSediment",1000,10843,NA,528,8,"www.ncdc.noaa.gov/paleo/study/8453"
"264",264,-46.0667,-75.6833,"MD07-3088","MD07-3088.Montade.2019.lpd",-1536,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Montade, Vincent; Peyron, Odile; Favier, Charly; Francois, Jean Pierre; Haberle, Simon G.",2019,"A pollen-climate calibration from western Patagonia for palaeoclimatic reconstructions","Journal of Quaternary Science","MarineSediment",-58,21617,"pollen",124,9,"this compilation"
"265",265,-41.7111,-72.7781,"MD07-3104","MD07-3104.Montade.2019.lpd",-326,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Montade, Vincent; Peyron, Odile; Favier, Charly; Francois, Jean Pierre; Haberle, Simon G.",2019,"A pollen-climate calibration from western Patagonia for palaeoclimatic reconstructions","Journal of Quaternary Science","MarineSediment",39,12941,"pollen",57,9,"this compilation"
"266",266,-50.52,-74.97,"MD07-3124","MD07-3124.Caniupan.2014.lpd",-564,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Caniup  n, Magaly; Lamy, Frank; Lange, Carina B.; Kaiser, J̩r̫me; Kilian, Rolf; Arz, Helge W.; Le _n, Tania; Mollenhauer, Gesine; Sandoval, Susana; De Pol-Holz, Ricardo; Pantoja, Silvio; Wellner, Julia; Tiedemann, Ralf",2014,"Holocene sea-surface temperature variability in the Chilean fjord region","Quaternary Research","MarineSediment",NA,NA,"alkenone",149,7,"this compilation"
"267",267,-20.4,36.3,"MD79-257","MD79-257.Levi.2007.lpd",-1262,"Indian Ocean","Indian Ocean","Levi, Camille; Labeyrie, Laurent; Bassinot, Franck; Guichard, Fran̤ois; Cortijo, Elsa; Waelbroeck, Claire; Caillon, Nicolas; Duprat, Josette; de Garidel-Thoron, Thibault; Elderfield, Harry",2007,"Low-latitude hydrological cycle and rapid climate changes during the last deglaciation","Geochemistry, Geophysics, Geosystems","MarineSediment",1553.723,15695.489,"foraminifera",47,8,"this compilation"
"268",268,-43.8217,51.3183,"MD84_527","MD84_527.Sarnthein.1988.lpd",-3262,"Indian; Indian Ocean","Indian; Indian Ocean","Sarnthein, Michael; Winn, Kyaw; Duplessy, Jean-Claude; Fontugne, Michael R.",1988,"Global variations of surface ocean productivity in low and mid latitudes: Influence on CO <sub>2</sub>$$ reservoirs of the deep ocean and atmosphere during the last 21,000 years","Paleoceanography","MarineSediment",1000,143670,NA,NA,12,"10.1594/PANGAEA.52302,10.1594/PANGAEA.52483,10.1594/PANGAEA.863097"
"269",269,47.452,-8.5338,"MD95_2002","MD95_2002.Eynaud.2012.lpd",-2174,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Eynaud, Fr̩d̩rique; Malaiz̩, Bruno; Zaragosi, S̩bastien; de Vernal, Anne; Scourse, James; Pujol, Claude; Cortijo, Elsa; Grousset, Francis E.; Penaud, Aur̩lie; Toucanne, Samuel; Turon, Jean-Louis; Auffret, G̩rard",2012,"New constraints on European glacial freshwater releases to the North Atlantic Ocean","Geophysical Research Letters","MarineSediment",1103,11434,"dinocyst",98,9,"10.1594/PANGAEA.94355"
"270",270,66.9697,7.6393,"MD95_2011","MD95_2011Assemblage.Risebrobakken.2003.lpd",-1048,"Atlantic; Norwegian Sea","Atlantic; Norwegian Sea","Risebrobakken, Bj  rg; Jansen, Eystein; Andersson, Carin; Mjelde, Eirik; Hevr  y, Kjersti",2003,"A high-resolution study of Holocene paleoclimatic and paleoceanographic changes in the Nordic Seas","Paleoceanography","MarineSediment",567,11155,"radiolaria",126,12,"10.1594/PANGAEA.510782,10.1594/PANGAEA.112379,10.1594/PANGAEA.438810,10.1594/PANGAEA.510781,10.1594/PANGAEA.56695,10.1594/PANGAEA.820583,10.1594/PANGAEA.260588"
"271",271,14.82,123.49,"MD98_2188","MD98_2188.Dang.2012.lpd",-730,"Pacific Ocean>North Pacific Ocean","Pacific Ocean>North Pacific Ocean","Dang, Haowen; Jian, Zhimin; Bassinot, Franck; Qiao, Peijun; Cheng, Xinrong",2012,"Decoupled Holocene variability in surface and thermocline water temperatures of the Indo-Pacific Warm Pool","Geophysical Research Letters","MarineSediment",40,12930,"Mg/Ca",197,9,"this compilation"
"272",272,64.3032,-24.2067,"MD99-2256","MD99-2256.Jennings.2015.lpd",-246,NA,"Atlantic Ocean>North Atlantic Ocean","Jennings, Anne; Andrews, John; Pearce, Christof; Wilson, Lindsay;   lfasd _tttir, S _d _s",2015,"Detrital carbonate peaks on the Labrador shelf, a 13   7 ka template for freshwater forcing from the Hudson Strait outlet of the Laurentide Ice Sheet into the subpolar gyre","Quaternary Science Reviews","MarineSediment",-43,11333,"foraminifera",126,7,"10.1594/PANGAEA.864059"
"273",273,66.2295,-23.2655,"MD99-2269","MD99-2266.Moossen.2015.lpd",-106,"Arctic Ocean","Arctic Ocean","Moossen, Heiko; Bendle, James; Seki, Osamu; Quillmann, Ursula; Kawamura, Kimitaka",2015,"North Atlantic Holocene climate evolution recorded by high-resolution terrestrial and marine biomarker records","Quaternary Science Reviews","MarineSediment",310,10744,"alkenone",326,7,"www.ncdc.noaa.gov/paleo/study/20023"
"274",274,62.3667,0.9667,"MD99-2284","MD99-2284.Risebrobakken.2009.lpd",-1500,"Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Eldevik, Tor; Risebrobakken, Bj  rg; Bjune, Anne E.; Andersson, Carin; Birks, H. John B.; Dokken, Trond M.; Drange, Helge; Glessmer, Mirjam S.; Li, Camille; Nilsen, Jan Even   .; Otter̴, Odd Helge; Richter, Kristin; Skagseth,   ystein",2014,"A brief history of climate     the northern seas from the Last Glacial Maximum to global warming","Quaternary Science Reviews","MarineSediment",998.294,11996.478,"foraminifera",326,7,"10.1594/PANGAEA.846924"
"275",275,60.5309,29.8992,"Medvedevskoe","Medvedevskoe.Nazarova.2018.lpd",102.2,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Nazarova, L. B.; Subetto, D. A.; Syrykh, L. S.; Grekov, I. M.; Leontev, P. A.",2018,"Reconstructions of paleoecological and paleoclimatic conditions of the Late Pleistocene and Holocene according to the results of chironomid analysis of sediments from Medvedevskoe Lake (Karelian Isthmus)","Doklady Earth Sciences","LakeSediment",0,12017.6,"chironomid",35,NA,"this compilation"
"276",276,50.1,6.75,"Meerfelder Maar","MeerfelderMaar.Litt.2009.lpd",336.5,"Europe>Western Europe>Germany","Europe>Western Europe>Germany","Litt, Thomas; Sch̦lzel, Christian; K _hl, Norbert; Brauer, Achim",2009,"Vegetation and climate history in the Westeifel Volcanic Field (Germany) during the past 11 000 years based on annually laminated lacustrine maar sediments","Boreas","LakeSediment",163,10990,"pollen",406,9,"this compilation"
"277",277,43.1,-89.42,"Mendota","Mendota.Winkler.1986.lpd",257,"North America>United States Of America>Wisconsin","North America>United States Of America>Wisconsin","Winkler, M. G.; Swain, A. M.; Kutzbach, J. E.",1986,"Middle Holocene Dry Period in the northern midwestern United States: Lake levels and pollen stratigraphy","Quaternary Research","LakeSediment",72,10287,"pollen",34,7,"this compilation"
"278",278,48.25,-3.5,"Menez-Cam","Menez-Cam.VanZeist.1964.lpd",133,"Europe>Western Europe>France","Europe>Western Europe>France","Van Zeist, W.",1964,"A paleobotanical study of some bogs in western Brittany (Finistere), France","Palaeohistoria","Peat",348.22,5329.04,"pollen",40,6,"this compilation"
"279",279,37.9049,-110.1304,"Midden Cluster 1","MiddenCluster1.Harbert.2018.lpd",1835,"North America>United States Of America>Utah","North America>United States Of America>Utah","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",0,15211,"macrofossils",62,NA,"geochange.er.usgs.gov/midden/"
"280",280,36.3806,-115.1879,"Midden Cluster 2","MiddenCluster2.Harbert.2018.lpd",1297,"North America>United States Of America>Nevada","North America>United States Of America>Nevada","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",0,47262,"macrofossils",135,NA,"geochange.er.usgs.gov/midden/"
"281",281,36.0589,-108.0819,"Midden Cluster 3","MiddenCluster3.Harbert.2018.lpd",1848,"North America>United States Of America>New Mexico","North America>United States Of America>New Mexico","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",0,13745,"macrofossils",19,NA,"geochange.er.usgs.gov/midden/"
"282",282,43.6488,-112.7451,"Midden Cluster 4","MiddenCluster4.Harbert.2018.lpd",1517,"North America>United States Of America>Idaho","North America>United States Of America>Idaho","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",0,6645,"macrofossils",15,NA,"geochange.er.usgs.gov/midden/"
"283",283,32.4659,-106.0203,"Midden Cluster 5","MiddenCluster5.Harbert.2018.lpd",1760,"North America>United States Of America>New Mexico","North America>United States Of America>New Mexico","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",0,49968,"macrofossils",45,NA,"geochange.er.usgs.gov/midden/"
"284",284,32.4659,-106.0203,"Midden Cluster 6","MiddenCluster6.Harbert.2018.lpd",1237,"North America>United States Of America>New Mexico","North America>United States Of America>New Mexico","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",0,35082,"macrofossils",61,NA,"geochange.er.usgs.gov/midden/"
"285",285,34.1548,-116.0048,"Midden Cluster 7","MiddenCluster7.Harbert.2018.lpd",573,"North America>United States Of America>California","North America>United States Of America>California","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",1178,13803,"macrofossils",41,NA,"geochange.er.usgs.gov/midden/"
"286",286,32.3106,-109.0977,"Midden Cluster 8","MiddenCluster8.Harbert.2018.lpd",1339,"North America>United States Of America>Arizona","North America>United States Of America>Arizona","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",144,34938,"macrofossils",53,NA,"geochange.er.usgs.gov/midden/"
"287",287,31.6387,-115.5548,"Midden Cluster 9","MiddenCluster9.Harbert.2018.lpd",782,"North America>Mexico","North America>Mexico","Harbert, Robert S.; Nixon, Kevin C.",2018,"Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America","Open Quaternary","Midden",609,54400,"macrofossils",75,NA,"geochange.er.usgs.gov/midden/"
"288",288,47.49,7.02,"Milandre Cave","MilandreCave.Affolter.2019.lpd",491,"Europe>Western Europe>Switzerland","Europe>Western Europe>Switzerland","Affolter, St̩phane; H _uselmann, Anamaria; Fleitmann, Dominik; Edwards, R. Lawrence; Cheng, Hai; Leuenberger, Markus",2019,"Central Europe temperature constrained by speleothem fluid inclusion water isotopes over the past 14,000 years","Science Advances","Speleothem",-19.5,13923,"dD",266,8,"10.1594/PANGAEA.904948"
"289",289,42.088,-111.5187,"Minnetonka Cave","MinnetonkaCave.Lundeen.2013.lpd",2346.96,"North America>United States Of America>Idaho","North America>United States Of America>Idaho","Lundeen, Zachary; Brunelle, Andrea; Burns, Stephen J.; Polyak, Victor; Asmerom, Yemane",2013,"A speleothem record of Holocene paleoclimate from the northern Wasatch Mountains, southeast Idaho, USA","Quaternary International","Speleothem",7.286,11121.881,NA,0,18,"www.ncdc.noaa.gov/paleo/study/23097"
"290",290,58.4,27.23,"Mire Saviku","MireSaviku.Sarv.1975.lpd",30,"Europe>Northern Europe>Estonia","Europe>Northern Europe>Estonia","Sarv, A.; Il'ves, E.O.",1975,"Ueber das Alter der holozaenen Ablagerungen im Muendungsgebiet des Flusses Emajogi (Saviku).","Keemia Geol.","Peat",242.94,10772.55,"pollen",74,6,"this compilation"
"291",291,46.28,7.84,"Mittlere Hellelen","MittlereHellelen.Welten.1982.lpd",1538,"Europe>Western Europe>Switzerland","Europe>Western Europe>Switzerland","Welten, M.",1982,"Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis","Denkschriften der Schweizerischen Naturforschenden Gesellschaft","Peat",192.25,10931.4,"pollen",95,6,"this compilation"
"292",292,68.27,-133.47,"M Lake","MLake.Ritchie.1977.lpd",105,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","Ritchie, J. C.",1977,"The Modern and Late Quaternary vegetation of the Campbell-Dolomite Uplands, near Inuvik, N.W.T., Canada","Ecological Monographs","LakeSediment",0,10699,"pollen",71,7,"this compilation"
"293",293,-37.92,175.37,"Moanatuatua","Moanatuatua.Jara.2017.lpd",60,"Australia/New Zealand>New Zealand","Australia/New Zealand>New Zealand","Jara, Ignacio A.; Newnham, Rewi M.; Alloway, Brent V.; Wilmshurst, Janet M.; Rees, Andrew B.H.",2017,"Pollen-based temperature and precipitation records of the past 14,600 years in northern New Zealand (37°S) and their linkages with the Southern Hemisphere atmospheric circulation","The Holocene","Peat",-91.5,14637.9,"pollen",146,7,"this compilation"
"294",294,41.82,-73.29,"Mohawk","Mohawk.Webb.1986.lpd",360,"North America>United States Of America>Connecticut","North America>United States Of America>Connecticut","Gaudreau, D.C.",1986,"Late-Quaternary vegetational history of the northeast: Paleoecological implications of topographic patterns in pollen distributions",NA,"LakeSediment",215,10887,"pollen",43,7,"this compilation"
"295",295,43.77,-69.3,"Monhegan Island Meadow","MonheganIslandMeadow.Bostwick.1978.lpd",3,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Bostwick, L.G.",1978,"An environmental framework for cultural change in Maine: Pollen influx and percentage diagrams from Monhegan Island",NA,"LakeSediment",50,10802,"pollen",35,7,"this compilation"
"296",296,46.86,-98.16,"Moon","Moon.Grimm.1996.lpd",444,"North America>United States Of America>North Dakota","North America>United States Of America>North Dakota","Laird, Kathleen R.; Fritz, Sherilyn C.; Grimm, Eric C.; Mueller, Pietra G.",1996,"Century scale paleoclimatic reconstruction from Moon Lake, a closed-basin lake in the northern Great Plains","Limnology and Oceanography","LakeSediment",-32,10880,"pollen",169,7,"this compilation"
"297",297,47,11.76,"Moor Alpenrose","MoorAlpenrose.Weirich.1980.lpd",1880,"Europe>Western Europe>Austria","Europe>Western Europe>Austria","Weirich, J.; Bortenschlager, S.",1980,"Beitraege zur Vegetationsgeschichte Tirols III: Stubaier Alpen - Zillertaler Alpen","Ber. nat.-med. Verein Innsbruck","Peat",4.7,10703.61,"pollen",47,6,"this compilation"
"298",298,50.14,11.88,"Moor im Weissenstadter Forst","MoorimWeissenstadterForst.Hahne.1992.lpd",725,"Europe>Western Europe>Germany","Europe>Western Europe>Germany","Hahne, J _rgen",1992,"Untersuchungen zur sp _t- und postglazialen Vegetationsgeschichte im nord̦stlichen Bayern (Bayerisches Vogtland, Fichtelgebirge, Steinwald)","Flora","Peat",66.19,7029.5,"pollen",34,6,"this compilation"
