,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
74,7400,0.208297151,-3.758777572,1.176314,0.544126614,0.069337222,-0.380129366,0.915837507,0.078682657,0.150300511,0.376343323,-0.646215942,1.417888292,0.961381509,0.05445197,0.287849109,-0.790197142,0.029768016,0.10192652,0.133958119,-0.103649237,-0.065300777
75,7500,0.29790099,-2.487062977,1.629567543,0.416694318,0.229687744,-0.280930881,0.910574601,0.25301722,0.115774851,0.508822367,-0.9316221,1.094321043,0.834842843,0.118787579,-0.486822647,-0.821803492,0.152764127,0.07509565,0.312874229,0.421651894,0.095346168
76,7600,0.401047898,-3.339220477,1.646682258,0.327817058,0.400581137,-0.409805196,0.707005992,0.53925545,0.05632616,0.549517513,-0.729457122,1.082848197,0.91236504,0.125939337,-0.193037169,-0.744347627,0.125513546,-0.025748221,0.792518022,0.485697615,0.101140601
77,7700,0.475589178,-4.773221357,0.934957199,0.235235393,0.532194917,-0.571858764,0.657215992,0.532827692,0.1399485,0.648380604,-0.676483595,1.226079349,0.941231843,0.198874208,0.216669244,-0.661065821,0.111629499,-0.014157908,0.344610089,0.028297494,0.109840455
78,7800,0.255245121,-4.658367001,0.728991884,0.147603661,0.353015072,-0.623710182,0.561965551,-0.081256339,0.09617184,0.272261905,-0.338678166,1.153971843,1.070261612,0.232247921,0.215562004,-0.552857065,0.041774653,-0.034923927,0.153680055,0.000766085,-0.014273475
79,7900,0.404821915,-3.452932429,0.589448539,0.214523826,0.205243093,-0.667585388,0.519543995,0.28948363,0.05738518,0.74444587,-0.696853717,1.475130253,1.052068035,0.114029504,0.162752888,-0.512807797,0.176273706,-0.020944442,0.14632071,-0.617389364,-0.093423787
80,8000,0.423993068,-3.699026929,0.196646515,-0.082495242,-0.008806678,-0.638047711,0.316525587,-0.394599018,-0.032554511,1.354364841,-1.05965853,1.363491827,1.027505104,0.056540545,-0.064459555,-0.483893528,-0.040984403,0.021087537,0.154533555,-0.393833828,-0.036156322
81,8100,0.267049407,-2.562801953,-0.175248488,0.723602103,-0.256720064,-0.703138283,0.116575983,-0.800827963,-0.102251171,1.505406817,-1.468775921,0.978661003,1.21290308,-0.169105889,-0.132875045,-0.341662795,0.165743243,0.012624522,-0.018191685,-0.646589102,0.150526555
82,8200,0.066484324,0.360958494,-0.119521717,0.227973458,-0.134560499,-0.881323156,0.513281001,-0.630220109,-0.215185831,1.043923131,-1.241634464,1.042416394,1.006815268,-0.187792628,-0.074319689,-0.306952732,-0.143251868,-0.003948001,-0.197443433,-0.468493921,0.187926239
83,8300,0.214317197,-3.473983429,0.277260102,0.275162126,-0.095211523,-0.631761281,-0.036479182,-0.112833514,-0.160700492,0.510703391,-1.228274973,1.137230662,0.903343119,-0.174442331,-0.035581058,-0.23964267,-0.123026068,-0.047168834,-0.29101304,0.103952669,0.03454975
